Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69
21-Jul-2004,107.164402173913,110.820741758242,0.0519728652411042,0.0410269048897018,107.876778062037,130.369731626538,105.026280000176,2.9439636962047,-0.0109459603514024,106.878631753807,1.76217114904999,1.75634532859012,1.73291487277662,1.7108597501381,1.6902773481639,1.67016227144911,1.65006947820271,1.63054014590365,1.61092402440956,1.59185799658659,1.57270723851368,1.5540935239545,1.53539708924502,1.5171251587412,1.49887346986965,1.48113361197032,1.46331491737738,1.44599591132512,1.42859993886301,-0,0,0,0,0,1.43450744343832,1.45459040613704,1.47475353013467,1.49432535270948,1.51403055331117,1.53308067773327,1.55223066977586,1.57085934885122,1.58950753458033,1.60658854138579,1.61105233719604,1.60878627930913,1.59952144368171,1.588253917682,1.57324141669845,-0.0375363175380744,0.0136282885095001,0.0136865467140988,0.0139208512722338,0.014141402498619,0.014347226518361,0.0145483772855089,0.0147493052179729,0.0149445985409635,0.0151407597559044,0.0153314200341341,0.0155229276148632,0.015709064760455,0.0158960291075498,0.016078748412588,0.0162612653013035,0.0164386638802968,0.0166168508262262,0.0167900408867488,0.0169640006113699
22-Jul-2004,107.189198369565,110.853537087912,0.0519535750588225,0.0408743951687631,107.926793590132,130.376439956366,105.057757783672,2.92674349778019,-0.0110791798900594,106.754762901458,1.76073783494056,1.7538069157939,1.73121937074941,1.71046166754575,1.69013361275331,1.67026419028905,1.65041386413309,1.63111737332915,1.61173228919247,1.59288805989174,1.57395731366452,1.55555474598803,1.53706768912551,1.51899772883305,1.50094513540334,1.48339621956353,1.46576673379233,1.44862912066751,1.43141282596907,-0,0,0,0,0,1.4346511572886,1.4544885046233,1.4744091855306,1.49374817723445,1.5132223127762,1.53205065563065,1.55098064462802,1.56939817065435,1.58783703493584,1.60478170944086,1.60912980039101,1.60680178029122,1.59752638103741,1.58661798245303,1.57159808988548,-0.0362976290145849,0.0136426216505944,0.013711930842061,0.0139378062925059,0.0141453833245425,0.0143486638724669,0.0145473580971095,0.0147458613586691,0.0149388262667085,0.0151326771080753,0.0153211194010826,0.0155104268633548,0.0156944525401197,0.0158793231087449,0.0160600227116695,0.0162405486459666,0.0164160378043647,0.0165923326620767,0.0167637087933249,0.0169358717403093
23-Jul-2004,107.213994565217,110.870707417582,0.0519535750588225,0.0406706898192231,107.989492449252,130.366317482324,105.101502540239,2.8812149683302,-0.0112828852395994,106.808464062661,1.75936116904683,1.75340697277002,1.72995253110353,1.70987685793108,1.68997178563243,1.67051103766498,1.65106423199229,1.63215538609183,1.61315508743751,1.59468039676778,1.57611635313875,1.55806584930902,1.53992804410234,1.5221951139972,1.50447488832351,1.48724485979209,1.46993149811774,1.45309707844855,1.43618123900121,-0,0,0,0,0,1.43481296013542,1.45424169921142,1.47375889571555,1.49271025789292,1.51179955721511,1.53025839044809,1.54882169151538,1.56688714266646,1.5849768515803,1.60174703477803,1.60592418042029,1.60341141491775,1.59386406868265,1.58215517272257,1.56695359920512,-0.0368346406266129,0.0136563883095317,0.0137159302722998,0.0139504746889647,0.0141512314206892,0.0143502821436757,0.0145448896233502,0.0147393576800771,0.0149284461390817,0.0151184491256249,0.0153031960323222,0.0154888364686125,0.0156693415069098,0.0158507195589766,0.016028048860028,0.0162052511167649,0.0163775514020791,0.0165506850188226,0.0167190292155145,0.0168881876099879
26-Jul-2004,107.085258152174,110.750343406593,0.0521659572002746,0.0416422176230311,107.784563803788,130.3028247839,104.852543436547,2.96577960280543,-0.0105237395772435,106.763192060202,1.76075028089817,1.75367253055068,1.73100826534063,1.7103904661807,1.6897305517678,1.6695407107822,1.64937422314348,1.62977421981863,1.6100880741346,1.59095491977609,1.57173767486782,1.55306024968381,1.53430073688776,1.5159680578287,1.49765658395959,1.47985948636148,1.46198417020655,1.44461097848641,1.42716143128324,-0,0,0,0,0,1.43505415781497,1.45521186113863,1.4754487017633,1.49509120986116,1.51486647850763,1.5339837184207,1.55320019463917,1.57189259212369,1.59060382115645,1.60796998108947,1.61224166913955,1.60970418697475,1.59998752984428,1.58911028986497,1.57320023938726,-0.0363819206020183,0.0136424971910183,0.0137132746944932,0.0139399173465937,0.014146095338193,0.014352694482322,0.014554592892178,0.0147562577685652,0.0149522578018137,0.015149119258654,0.0153404508022391,0.0155326232513218,0.0157193975031619,0.0159069926311224,0.016090319421713,0.0162734341604041,0.0164514051363852,0.0166301582979345,0.0168038902151359,0.0169783856871676
27-Jul-2004,106.781929347826,110.501888736264,0.05249500944758,0.043008941374949,107.459574805605,129.99001951717,104.521250555811,3.04231393065869,-0.00948606807263097,106.799909922639,1.76070742198504,1.75494066773443,1.73172649522318,1.71027750412529,1.68961895418818,1.66943044663257,1.64926529088147,1.62966658203101,1.60998173651061,1.59084984579365,1.57163387008065,1.55295767843972,1.53419940460821,1.51586793632361,1.49755767182849,1.47976174963258,1.46188761404577,1.44451556973114,1.42706717497635,-0,0,0,0,0,1.43516573865495,1.45532210654336,1.47555762095343,1.49519883796137,1.51497281294148,1.53408878820018,1.55330399527416,1.57199516029063,1.59070514735607,1.60807003651436,1.6117049608581,1.60861524691424,1.59798490492026,1.58620925373078,1.56919555823036,-0.0367490992263882,0.0136429257801496,0.0137005933226557,0.0139327350477682,0.0141472249587471,0.0143538104581182,0.0145556955336743,0.0147573470911853,0.0149533341796899,0.0151501826348939,0.0153415015420635,0.0155336612991935,0.0157204232156028,0.0159080059539179,0.0160913206367639,0.0162744232817151,0.0164523825036742,0.0166311238595423,0.0168048443026886,0.0169793282502365
28-Jul-2004,106.978600543478,110.628434065934,0.0523593956878394,0.0418259502384775,107.763614495933,130.09734190192,104.798473965501,2.86481957000157,-0.010533445449362,106.713918198023,1.75708419139886,1.75314242485521,1.729584915951,1.70896313382017,1.6894015664249,1.67027290701097,1.65115420550572,1.63256075360274,1.61387372251561,1.59570008171513,1.57743497460229,1.55967166622532,1.54181895670247,1.52436133721942,1.50691280574285,1.48994363915494,1.47288906826591,1.45630303895508,1.43963353363885,-0,0,0,0,0,1.43538309381006,1.45447978938322,1.47366893299894,1.49230492686508,1.51108094369607,1.52923874628814,1.54750312279669,1.56528137392467,1.58308605243494,1.59967827958291,1.60282863201531,1.59911782203369,1.58888464637663,1.57670169758252,1.5595032986533,-0.0358891819802312,0.0136791580860114,0.0137185757514479,0.01395415084049,0.0141603686617983,0.014355984335751,0.0145472709298903,0.0147384579449428,0.0149243924639726,0.0151112627748439,0.0152929991828487,0.0154756502539771,0.0156532833377468,0.0158318104329753,0.0160063866278058,0.0161808719425715,0.0163505636084506,0.0165211093173409,0.0166869696104492,0.0168536646636115
29-Jul-2004,107.09714673913,110.708104395604,0.0522819786337321,0.0413906339381156,107.883267475349,130.229167171768,104.897310631543,2.82483692025507,-0.0108913446956165,106.770662847335,1.75735672392856,1.75473717738331,1.73053373390093,1.70894818855542,1.68930355760185,1.67009461420118,1.65089661125805,1.63222694898473,1.61346424086987,1.59521789384747,1.5768806107016,1.55904798069534,1.541126476448,1.52360244346639,1.50608839130126,1.48905633646051,1.47193939728427,1.4552935266424,1.43856469632942,-0,0,0,0,0,1.43548108793179,1.45465805188324,1.4739264963353,1.49263870144068,1.51149041305735,1.52972091486828,1.54805746452283,1.56590504074408,1.58377849114058,1.60051678787752,1.60393667631827,1.60121257956255,1.59070715678129,1.57889113827168,1.56109943190178,-0.0364566284733453,0.0136764327607144,0.0137026282261669,0.0139446626609907,0.0141605181144458,0.0143569644239815,0.0145490538579882,0.0147410338874195,0.0149277305101527,0.0151153575913013,0.0152978210615253,0.015481193892984,0.0156595201930466,0.01583873523552,0.0160139755653361,0.0161891160869874,0.0163594366353949,0.0165306060271573,0.016697064733576,0.0168643530367058
30-Jul-2004,107.371942934783,110.897149725275,0.0520693679784388,0.0405074496701219,108.113489437747,130.583975155575,105.103078133762,2.78366028752768,-0.0115619183083169,106.71585371683,1.75894355192334,1.75290346081978,1.73005872632354,1.70966425387982,1.68926251652964,1.66932205022054,1.64940172379143,1.63003813125724,1.61058658704368,1.59167867518527,1.57268488140189,1.55422192675059,1.53567511122145,1.51754762806392,1.49943845367258,1.48183539504338,1.46415238128365,1.44696357293563,1.42969669102983,-0,0,0,0,0,1.43552212284784,1.455430484528,1.47542120441543,1.49482732217457,1.51436798055394,1.53325999196173,1.55225302599337,1.57073094990722,1.58922952928522,1.60677724193986,1.611581717029,1.60967691030761,1.60037615691889,1.58926830007267,1.57330928285668,-0.0359085371683037,0.0136605644807666,0.0137209653918022,0.0139494127367646,0.0141533574612018,0.0143573748347036,0.0145567794977946,0.0147559827620857,0.0149496186874276,0.0151441341295632,0.0153332132481473,0.0155231511859811,0.0157077807324941,0.0158932488877855,0.0160745237193608,0.0162556154632742,0.0164316460495662,0.0166084761871635,0.0167803642706437,0.0169530330897017
02-Aug-2004,107.477581521739,111.026785714286,0.0519728652411042,0.0402507605452609,108.212513458042,130.713365383315,105.148120342072,2.81427225624419,-0.0117221046958433,106.748829987694,1.75893757853649,1.75458129541529,1.73111776931625,1.70950981266712,1.68894365103973,1.66884444593322,1.64876750671255,1.62925358384576,1.60965294026414,1.59060195630749,1.57146630895649,1.5528672813702,1.53418559890315,1.51592808569077,1.49769079813921,1.47996493770455,1.46216030278162,1.44485496212492,1.42747271578797,-0,0,0,0,0,1.43584094050793,1.45590800762259,1.47605534538825,1.49561179897678,1.51530159932407,1.53433666777076,1.55347154969586,1.57208555464824,1.59071895223279,1.60846046698179,1.61360725838112,1.61205210929642,1.60314375208824,1.59242466544762,1.57676519321318,-0.0362382998769375,0.0136606242146351,0.0137041870458471,0.0139388223068375,0.0141549018733288,0.0143605634896027,0.0145615555406678,0.0147623249328745,0.0149574641615424,0.0151534705973586,0.0153439804369251,0.0155353369104351,0.015721327186298,0.0159081440109685,0.0160907191430923,0.0162730920186079,0.0164503506229545,0.0166283969721838,0.0168014503787508,0.0169752728421203
03-Aug-2004,107.455502717391,111.059581043956,0.0519535750588225,0.040470922605357,108.17013729572,130.717283928478,105.090232308268,2.88944374823616,-0.0114826524534655,106.751241010757,1.75936908865729,1.75432915308918,1.73105875290774,1.70966619172516,1.6888488166395,1.66850708878023,1.64819087847652,1.62844728555556,1.60861885465208,1.58934929294901,1.5699969301699,1.55119001849406,1.5323022937438,1.51384612647153,1.49541311142493,1.47749963543971,1.45950918546255,1.44202580074147,1.42446729012546,-0,0,0,0,0,1.43593576068299,1.45624530742487,1.4766319044289,1.49641802470014,1.51633565391356,1.5355892810227,1.55494086970731,1.57376276720649,1.59260214439382,1.61058996967274,1.61599613392436,1.61461625728367,1.60583293356072,1.59618321980277,1.58010098336122,-0.036262410107573,0.0136563091134271,0.0137067084691082,0.0139394124709226,0.0141533380827484,0.014361511833605,0.0145649291121977,0.0147680912152348,0.0149655271444444,0.0151638114534792,0.0153565070705099,0.015550030698301,0.0157380998150594,0.015926977062562,0.0161115387352847,0.0162958688857507,0.0164750036456029,0.0166549081453745,0.0168297419925853,0.0170053270987454
