Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69
08-May-2019,131.227885928962,99.03125,0.0248500730229821,0.0264850373250884,98.7482173895455,94.6066277723342,94.322721414308,0.283032610454526,0.0016349643021063,122.597294152332,2.30099434019348,2.27768458803519,2.25486939250435,2.22859603614377,2.20381761071981,2.18149345106966,2.16087536955122,2.13988157251376,2.11848450007139,2.09566825628377,2.0743089834741,2.05456347379042,2.03684772343574,2.02017408439038,2.00643199013625,1.99873205398029,1.99346803752403,1.97490441807125,1.95638567811064,-21.1537330142706,-1.08685955557606,-1.05187550161163,-1.01851589540943,-0.982492740269236,-0.948285309858227,-0.916998718349801,-0.887192714331152,-0.857733891837339,-0.827924515913484,-0.796872236476198,-0.768091864856418,-0.740688972485467,-0.715651898289721,-0.691061202858108,-0.670459620324546,-0.65451013347184,-0.640978320562484,-0.617183330972604,-0.594148718903215,-0.214097941523325,-0.0111349434019348,-0.0109018458803519,-0.0106736939250435,-0.0104109603614377,-0.0101631761071981,-0.00993993451069656,-0.00973375369551217,-0.00952381572513756,-0.00930984500071387,-0.00908168256283775,-0.00886808983474095,-0.00867063473790421,-0.00849347723435741,-0.00832674084390379,-0.00818931990136248,-0.00811232053980293,-0.00805968037524028,-0.00787404418071246,-0.00768885678110639
09-May-2019,131.578317110656,99.390625,0.0244405702237471,0.0263460170312051,98.8754342438664,94.8939601920296,94.6036420062517,0.515190756133578,0.00190544680745797,122.650294085569,2.30385896523423,2.27609395519776,2.2509380750949,2.22833442620866,2.20593866182508,2.1812872146235,2.15843971133543,2.13760621577426,2.11634286357884,2.0927122664101,2.07224107442272,2.05533886494273,2.03809763613313,2.0190397355388,2.00336141676202,1.99697216067892,1.98676522068686,1.97035084253647,1.95607638812019,-21.2076014638916,-1.0899905664754,-1.05103746374344,-1.01559399609638,-0.983317915816374,-0.951547610516406,-0.91826932418426,-0.886535922229043,-0.857347345928219,-0.827766183164188,-0.796260918024984,-0.768176437867527,-0.743486233985085,-0.718840062296104,-0.692323353014895,-0.670262788326668,-0.655478176831362,-0.63813335219639,-0.616080127550924,-0.59630767648693,-0.21462794085569,-0.0111635896523423,-0.0108859395519776,-0.010634380750949,-0.0104083442620866,-0.0101843866182508,-0.009937872146235,-0.00970939711335432,-0.00950106215774261,-0.00928842863578838,-0.00905212266410104,-0.0088474107442272,-0.00867838864942728,-0.00850597636133125,-0.00831539735538801,-0.00815861416762017,-0.0080947216067892,-0.00799265220686861,-0.00782850842536467,-0.00768576388120189
10-May-2019,131.61624829235,99.1796875,0.024680727581385,0.0264778255006819,98.7687946221218,94.6421339964578,94.3453541312562,0.410892877878169,0.00179709791929694,122.90518059736,2.30790073233722,2.28321921387075,2.25843348070577,2.23070518779673,2.20553722933002,2.18390949699977,2.1634102758608,2.14131783422152,2.11950103202395,2.09754919878645,2.07650753677965,2.05589860267221,2.03704207057428,2.01945516836726,2.00524947834814,1.99768712332563,1.99191283506145,1.97385418708381,1.95605173905086,-21.461629143117,-1.09410492714926,-1.05797168695291,-1.02279502074804,-0.985390756289036,-0.95096893666176,-0.920204098669227,-0.890615717750566,-0.860124308365938,-0.829881678945082,-0.799596527529742,-0.77091177559384,-0.742845532697858,-0.716801122047048,-0.691571053256969,-0.670570927235043,-0.65476082558684,-0.64102854413212,-0.61739812644698,-0.59494358671666,-0.217176805973599,-0.0112040073233722,-0.0109571921387075,-0.0107093348070577,-0.0104320518779673,-0.0101803722933002,-0.00996409496999769,-0.009759102758608,-0.00953817834221518,-0.00932001032023946,-0.00910049198786454,-0.00889007536779648,-0.00868398602672205,-0.00849542070574279,-0.00831955168367261,-0.00817749478348142,-0.00810187123325629,-0.00804412835061452,-0.00786354187083807,-0.00768551739050858
13-May-2019,132.019104337432,99.7578125,0.0240238873785619,0.0262093551940237,99.0220866622042,95.2093564483014,94.8932293388629,0.735725837795826,0.00218546781546181,122.719624619356,2.30667205452363,2.27722885863979,2.25032047766608,2.22752887104033,2.2057493560458,2.18197461524777,2.159511533585,2.13829787713592,2.11685375109973,2.09354774331501,2.07233082809898,2.05350860812747,2.0359714760735,2.01854494826607,2.00418534007822,1.99683587012118,1.99038632230456,1.97275141860683,1.95576175479762,-21.2829979375105,-1.09356539791612,-1.05335370933839,-1.01671532534492,-0.984449728171931,-0.953519244481972,-0.921171891357856,-0.890032080842443,-0.860576666574489,-0.83086084055818,-0.799496528701165,-0.770988493755768,-0.744377699115968,-0.719597143572696,-0.694404537872166,-0.6734060640149,-0.657836288593194,-0.643457185284546,-0.620411440812886,-0.598529685310182,-0.215321246193564,-0.0111917205452363,-0.0108972885863979,-0.0106282047766608,-0.0104002887104033,-0.010182493560458,-0.00994474615247769,-0.00972011533585002,-0.00950797877135916,-0.0092935375109973,-0.00906047743315011,-0.00884830828098983,-0.00866008608127471,-0.00848471476073499,-0.00831044948266074,-0.00816685340078223,-0.00809335870121177,-0.00802886322304564,-0.00785251418606832,-0.0076826175479762
14-May-2019,132.076566769126,99.6796875,0.024112398210641,0.0261998659229663,99.037410779601,95.2389399597572,94.9163225636923,0.642276720399011,0.00208746771232526,122.730919221453,2.30522461132131,2.27895543708516,2.25385339670621,2.22862003710522,2.2050861159932,2.18256880950523,2.16104923351784,2.13903067380494,2.11776617392342,2.09645824893651,2.07574390241881,2.05511895728371,2.03648773388829,2.01942726453656,2.0055473631095,1.99766350399847,1.99302738859126,1.97453723702506,1.95590054802419,-21.2941618610609,-1.09207283149149,-1.05483710717095,-1.02006299575519,-0.985263947114522,-0.952755704543275,-0.921682484804217,-0.891294058777919,-0.861078167953042,-0.831537024884932,-0.80183751929934,-0.77371373364093,-0.745570998562614,-0.719831229931863,-0.69488388624945,-0.674177373359436,-0.658055306122758,-0.645243548809374,-0.621420991237875,-0.598146038598467,-0.215434192214531,-0.0111772461132131,-0.0109145543708516,-0.0106635339670621,-0.0104112003710522,-0.010175861159932,-0.00995068809505227,-0.00973549233517841,-0.00951530673804939,-0.00930266173923425,-0.00908958248936507,-0.00888243902418812,-0.00867618957283714,-0.00848987733888289,-0.00831927264536557,-0.00818047363109504,-0.00810163503998471,-0.00805527388591264,-0.00787037237025058,-0.00768400548024186
15-May-2019,132.25121670082,100.0078125,0.0237411773847129,0.0292581380435597,95.2543034762638,95.6162453139674,95.287141143482,4.75350902373624,0.00551696065884677,122.509905728547,2.3017371622009,2.27556898168893,2.25110073764603,2.2274746683621,2.20460289828233,2.18106212873162,2.15882897123541,2.13731300294345,2.11661953085657,2.09546836301047,2.07518072449739,2.05537435477121,2.03701515159978,2.01958227476139,2.00539823234268,1.99792371841349,1.99218054186145,1.97404576332559,1.95601931036501,-21.0791170791843,-1.08920025316625,-1.05219534736264,-1.01822753017805,-0.985220002072832,-0.953483111994769,-0.921648101854025,-0.890757233071434,-0.861071974078447,-0.832268110960077,-0.802952742144683,-0.775087301402145,-0.747586969199922,-0.722198315829518,-0.697018679922123,-0.676181005624664,-0.660357558474864,-0.646697611077793,-0.623235266486298,-0.600467192767492,-0.21322405728547,-0.011142371622009,-0.0108806898168893,-0.0106360073764603,-0.010399746683621,-0.0101710289828233,-0.00993562128731619,-0.00971328971235411,-0.00949813002943454,-0.00929119530856566,-0.00907968363010474,-0.00887680724497394,-0.00867874354771212,-0.00849515151599776,-0.00832082274761392,-0.0081789823234268,-0.0081042371841349,-0.00804680541861452,-0.0078654576332559,-0.00768519310365008
16-May-2019,132.074304132514,99.8267663043478,0.0239531350043061,0.0286946389102871,95.7353394612844,96.0941060651448,95.7584744918632,4.09142684306342,0.00474150390598105,122.422711632949,2.30033540798041,2.27631118236605,2.25274805917516,2.22746128797177,2.20347640750292,2.18082253249619,2.15972655093228,2.13866153273813,2.11754266150459,2.09529942390746,2.07469885362237,2.05648338299935,2.03806665926852,2.02259680696323,2.00660608194329,1.30599031532446,1.99319495854913,1.97532,1.95637041711895,-20.993554924566,-1.08759630092741,-1.05246666509868,-1.01917608061584,-0.984645747064556,-0.951898775481713,-0.920730521821367,-0.890822021822717,-0.861524069892887,-0.832239375220768,-0.801995401051049,-0.773752736209677,-0.747603784062005,-0.722182127718527,-0.698474969344043,-0.676049204731893,-0.0963895017101382,-0.646497691689411,-0.623086838,-0.599511330340162,-0.21235211632949,-0.0111283540798041,-0.0108881118236605,-0.0106524805917516,-0.0103996128797177,-0.0101597640750292,-0.00993322532496189,-0.00972226550932277,-0.00951161532738128,-0.00930042661504591,-0.00907799423907464,-0.00887198853622369,-0.00868983382999355,-0.00850566659268517,-0.00835096806963227,-0.00819106081943288,-0.00118490315324456,-0.00805694958549134,-0.0078782,-0.00768870417118954
17-May-2019,131.795829064208,99.8644701086957,0.0239177775575108,0.0288778722558942,95.5885212729944,95.9483870948334,95.6063093270523,4.27594883570121,0.00496009469838343,122.308171607406,2.29854376701712,2.2721471350709,2.24779878310838,2.22562563626172,2.20293726287527,2.17910904962984,2.15617287683456,2.13413099076002,2.11355468756786,2.09422714663104,2.07443493283482,2.05540664461862,2.03677138203493,2.02180236841118,2.00634438785415,1.30871681642835,1.99384280856592,1.97519606065771,1.95625723449763,-20.8855985324151,-1.08592306744487,-1.04849584605899,-1.0144620667146,-0.982886971156236,-0.951444406568872,-0.919053015468425,-0.887556210128437,-0.85740155357098,-0.828642994982601,-0.801202241306124,-0.773566909719875,-0.746868383960109,-0.721073866916761,-0.698177593981212,-0.676095245719532,-0.0986595790591982,-0.647259435863953,-0.623351154562084,-0.59972289377629,-0.211206716074056,-0.0111104376701712,-0.010846471350709,-0.0106029878310838,-0.0103812563626172,-0.0101543726287527,-0.0099160904962984,-0.00968672876834563,-0.00946630990760019,-0.00926054687567865,-0.00906727146631045,-0.00886934932834822,-0.00867906644618623,-0.00849271382034935,-0.0083430236841118,-0.00818844387854145,-0.0012121681642835,-0.00806342808565925,-0.00787696060657709,-0.00768757234497629
20-May-2019,131.53462260929,99.6650815217391,0.0241655422887881,0.0292006286905884,95.3400638788339,95.7018207326272,95.3404751048128,4.32501764290519,0.00503508640180028,122.317918865884,2.29842990960719,2.26998358611151,2.24501371285681,2.22311784342373,2.20118441730842,2.17724070067447,2.15518971393134,2.13434171971788,2.11315727282686,2.09075056618045,2.07185134720516,2.05538857072932,2.03897995416236,2.02186633133512,2.00837593068911,1.32934268431822,1.99075693437952,1.97399918654773,1.95551279505017,-20.8916451326996,-1.08557848906996,-1.04619873630505,-1.01148014093615,-0.979974096696572,-0.949072172549181,-0.916361325126464,-0.885639303087101,-0.856389930233232,-0.827028490407155,-0.796811519461747,-0.769863221795977,-0.745368741199463,-0.721552627956723,-0.696729261318077,-0.676163712867926,-0.115198954495884,-0.643224055343092,-0.620846727877051,-0.597675237235994,-0.211304188658841,-0.0111092990960719,-0.0108248358611151,-0.0105751371285681,-0.0103561784342373,-0.0101368441730842,-0.00989740700674469,-0.00967689713931339,-0.00946841719717881,-0.00925657272826856,-0.00903250566180452,-0.00884351347205156,-0.00867888570729321,-0.00851479954162357,-0.00834366331335118,-0.00820875930689109,-0.00141842684318218,-0.00803256934379525,-0.00786499186547734,-0.00768012795050172
21-May-2019,131.611616290984,99.577785326087,0.0242719151325494,0.0292973368220064,95.2666209743974,95.6289850181832,95.261174692511,4.31116435168954,0.00502542168945697,122.450832936711,2.30034501201198,2.27476292178949,2.25000938397891,2.2247886174805,2.20156849522305,2.17933220984374,2.15813317295474,2.13647557993449,2.11513599918364,2.09338104926832,2.07353761406179,2.05488626469028,2.03780947628535,2.02147727793255,2.00881993008741,1.32883977181565,1.99281553296171,1.97408818337197,1.95550527608913,-21.0262467744666,-1.08756117333907,-1.05038296348239,-1.01565272014544,-0.980901608234261,-0.948782765500589,-0.91769275215792,-0.887634330335378,-0.857627190609996,-0.828109932831227,-0.79847073325658,-0.770675516710942,-0.744200067378965,-0.719786971675549,-0.695778903206347,-0.676069500451451,-0.114692984635249,-0.644373223699314,-0.620429295516472,-0.597561865166667,-0.212633329367109,-0.0111284501201198,-0.0108726292178949,-0.0106250938397891,-0.010372886174805,-0.0101406849522305,-0.00991832209843739,-0.00970633172954738,-0.0094897557993449,-0.0092763599918364,-0.00905881049268325,-0.00886037614061787,-0.00867386264690279,-0.0085030947628535,-0.00833977277932549,-0.0082131993008741,-0.00141339771815655,-0.00805315532961712,-0.00786588183371966,-0.00768005276089127
22-May-2019,131.665172472678,99.9748641304348,0.0238294385315032,0.0288280256953497,95.6676469290479,96.0272296590501,95.6530481367543,4.30721720138686,0.00499858716384649,122.097997748252,2.29540747553694,2.27159630920798,2.24694279865267,2.2202410030206,2.19666689643951,2.17558137704189,2.15397885630754,2.13041886417078,2.11044152835427,2.09302156712241,2.07455405656571,2.05411483125346,2.03587651079678,2.01961253178712,2.00728187979975,1.3449026893022,1.9924220150835,1.97308259826416,1.95496258490824,-20.6781821182685,-1.08311250623442,-1.0479308563328,-1.01338882019524,-0.977510014179062,-0.945316906901785,-0.915625369663411,-0.885487928148968,-0.853982756902194,-0.825940373724233,-0.800281850591441,-0.773821606245101,-0.745756726886855,-0.720627975800999,-0.696661253862809,-0.677377569459737,-0.128207638490429,-0.646738740679288,-0.622181417825214,-0.599810383235033,-0.209104977482516,-0.0110790747553694,-0.0108409630920798,-0.0105944279865267,-0.010327410030206,-0.0100916689643951,-0.00988081377041893,-0.0096647885630754,-0.00942918864170782,-0.00922941528354266,-0.00905521567122407,-0.00887054056565715,-0.00866614831253463,-0.00848376510796778,-0.00832112531787115,-0.00819781879799752,-0.00157402689302201,-0.00804922015083497,-0.0078558259826416,-0.00767462584908237
23-May-2019,131.937478654372,100.543817934783,0.0231956885238138,0.0280669219365115,96.3170074561801,96.6719432121799,96.2914981055923,4.2268104786025,0.00487123341269768,121.719370876009,2.28720163873809,2.26238514634152,2.23855337601239,2.21439446733384,2.19202276965798,2.17033129857293,2.14825802300317,2.12496445070543,2.10619005164104,2.09035353955097,2.07131793692846,2.04880058316427,2.03043489805116,2.01575240899247,2.00457900245761,1.38043775403893,1.99271710391731,1.97080743670257,1.95380366449047,-20.3064309337901,-1.07558518180056,-1.04006961645152,-1.00684607101731,-0.973824561262028,-0.942955569105645,-0.912991306496338,-0.882590750251632,-0.851536459153769,-0.824616190352994,-0.800632461803013,-0.773853309215817,-0.744198155877256,-0.719015038688663,-0.696659666251747,-0.678469720480699,-0.157979362384616,-0.650551002596872,-0.624147198638978,-0.602582886572078,-0.205318708760087,-0.0109970163873809,-0.0107488514634152,-0.0105105337601239,-0.0102689446733384,-0.0100452276965798,-0.0098283129857293,-0.00960758023003169,-0.00937464450705429,-0.00918690051641036,-0.00902853539550975,-0.00883817936928455,-0.0086130058316427,-0.00842934898051164,-0.00828252408992471,-0.00817079002457608,-0.00192937754038929,-0.00805217103917309,-0.00783307436702575,-0.00766303664490466
24-May-2019,131.975409836066,100.53464673913,0.0232132386109418,0.028558017080361,95.9096494117466,96.2675216511636,95.8806267279143,4.62499732738385,0.00534477846941916,122.148302279774,2.29724019862355,2.26754355733972,2.23963934957317,2.21441810652216,2.19211081049978,2.17069599172626,2.14870473571213,2.12522757778918,2.10594085820671,2.08950356400326,2.07111041965167,2.04998133026718,2.03133825157201,2.01515695913506,2.00302546421785,1.38266872978171,1.98906523620557,1.97071360624606,1.95371064358626,-20.7342160071292,-1.08552566748958,-1.04494214172618,-1.00781271877565,-0.973703210242178,-0.942897568410781,-0.91313344535585,-0.882914609988381,-0.851681695251249,-0.824447620777832,-0.799941860736289,-0.773715791759592,-0.745304616737082,-0.719912165946148,-0.69620020431564,-0.677244966505068,-0.159821721130942,-0.647680742158824,-0.624182083497794,-0.602609346967718,-0.209608022797735,-0.0110974019862355,-0.0108004355733972,-0.0105213934957317,-0.0102691810652216,-0.0100461081049978,-0.00983195991726263,-0.00961204735712134,-0.00937727577789184,-0.00918440858206706,-0.00902003564003257,-0.0088361041965167,-0.00862481330267182,-0.00843838251572015,-0.00827656959135062,-0.00815525464217846,-0.00195168729781707,-0.00801565236205569,-0.00783213606246055,-0.00766210643586256
27-May-2019,132.007172131148,100.554008152174,0.0232132386109418,0.0283067568815398,96.1435748500619,96.5000474106867,96.0938093161933,4.41043330211197,0.00509351827059801,121.949840820858,2.2915868159905,2.26450331219078,2.23951798104438,2.21593735993077,2.19321071011817,2.1698868732658,2.14813750651934,2.12702732067111,2.10710532792305,2.08709443199933,2.06746507870599,2.04788219912062,2.03094496881398,2.01569388817114,2.00354969503519,1.39050177908113,1.99026416664891,1.97035701660638,1.95339542057061,-20.5378999165848,-1.07999564166559,-1.04200070454458,-1.00769646350298,-0.975143735939153,-0.943929901195608,-0.912381984676882,-0.882393581613337,-0.853316293726326,-0.825492918663401,-0.79780532201861,-0.770523821867327,-0.743490673548093,-0.719576640693955,-0.696651852912917,-0.677680308745024,-0.166236126871747,-0.648649501935653,-0.623897899384458,-0.60236143037037,-0.207623408208583,-0.011040868159905,-0.0107700331219078,-0.0105201798104438,-0.0102843735993077,-0.0100571071011817,-0.00982386873265803,-0.00960637506519337,-0.00939527320671107,-0.00919605327923045,-0.00899594431999335,-0.00879965078705991,-0.0086038219912062,-0.00843444968813976,-0.00828193888171139,-0.00816049695035191,-0.0020300177908113,-0.0080276416664891,-0.00782857016606384,-0.00765895420570606
28-May-2019,132.236509562842,101.044836956522,0.0226706122070937,0.0273444061083286,96.9666664994561,97.317420138253,96.9047227454236,4.07817045706568,0.0046737939012349,121.380313561934,2.28101558298805,2.25546183912954,2.23241265902118,2.21064861293268,2.18821221429497,2.16385899481763,2.14221894081983,2.12264547607181,2.10350945571545,2.08335620961935,2.06462818229764,2.0467363570138,2.02973262818108,2.01328243526892,2.00080608333211,1.39100237676531,1.98539621191626,1.97037578370071,1.95335659136028,-19.9799813069908,-1.06996125733048,-1.03385113798774,-1.00172641882384,-0.971305672715385,-0.940449324750123,-0.90837511800848,-0.878742407509384,-0.851337738506252,-0.824417670238461,-0.797007435449952,-0.770767618912232,-0.745353170255194,-0.721338556731966,-0.697596227842126,-0.67850873308065,-0.167474315982779,-0.647939597848717,-0.627224420385333,-0.605731295238674,-0.201928135619335,-0.0109351558298805,-0.0106796183912954,-0.0104491265902118,-0.0102314861293268,-0.0100071221429497,-0.00976358994817632,-0.00954718940819826,-0.00935145476071807,-0.00916009455715449,-0.00895856209619351,-0.00877128182297644,-0.00859236357013803,-0.00842232628181078,-0.0082578243526892,-0.00813306083332115,-0.00203502376765309,-0.00797896211916258,-0.00782875783700708,-0.00765856591360282
29-May-2019,132.508815744536,101.08254076087,0.0226357049087991,0.0272433130008616,97.0599492697309,97.4101216047683,96.9909728223914,4.02259149113868,0.00460760809206251,121.533756601191,2.28372311470528,2.25962644886306,2.23579686528532,2.21079416387447,2.18793009423177,2.1664389726519,2.14564343053496,2.12418127569423,2.10449632325519,2.08555067487129,2.06674139365101,2.04741271498522,2.02985932201315,2.0137519726586,2.00150289591951,1.39294122348698,1.98715634661931,1.97030054104936,1.95327242702065,-20.1320105191803,-1.07291741128665,-1.0379470576733,-1.00508606849825,-0.971525712124056,-0.940374275675036,-0.910726505037517,-0.881808143424241,-0.852539196698617,-0.825131631591485,-0.798834036311512,-0.772483903633902,-0.745957081995376,-0.721564995236461,-0.698034191541441,-0.679236576471076,-0.16912126958672,-0.649784754135917,-0.627555537748449,-0.606055271916953,-0.203462566011908,-0.0109622311470528,-0.0107212644886306,-0.0104829686528532,-0.0102329416387446,-0.0100043009423177,-0.00978938972651901,-0.00958143430534961,-0.0093668127569423,-0.0091699632325519,-0.00898050674871292,-0.00879241393651008,-0.00859912714985217,-0.00842359322013146,-0.00826251972658603,-0.0081400289591951,-0.00205441223486984,-0.00799656346619308,-0.00782800541049358,-0.0076577242702065
30-May-2019,132.98424692623,101.526494565217,0.0221482775922031,0.0266650143202987,97.5613181710983,97.9078850036237,97.4823965093736,3.96517639411911,0.00451673672809561,121.476326357998,2.28353101955853,2.25786543679725,2.23324900364468,2.20895526772874,2.18606678136993,2.16357609628898,2.14377388552259,2.12508518494226,2.10496796244146,2.08255831149319,2.06269887897742,2.04505073476825,2.02885072070679,2.01303128762532,2.00028676623424,1.41543002570154,1.98606643808562,1.968884579553,1.95254814825202,-20.0796485582468,-1.07333221714348,-1.0369593315148,-1.00367852122805,-0.970944304739555,-0.940040782313842,-0.909663878697474,-0.88184708901237,-0.855237078148782,-0.827611150199942,-0.798284606854549,-0.771155236244582,-0.746077714755724,-0.723233493026762,-0.700017510654769,-0.680960880618708,-0.188409238545147,-0.651646184806631,-0.629194304993465,-0.608419840860385,-0.202888263579978,-0.0109603101955853,-0.0107036543679725,-0.0104574900364468,-0.0102145526772874,-0.00998566781369934,-0.00976076096288976,-0.00956273885522593,-0.00937585184942261,-0.00917467962441459,-0.00895058311493193,-0.00875198878977418,-0.00857550734768249,-0.00841350720706788,-0.00825531287625323,-0.00812786766234239,-0.00227930025701537,-0.00798566438085625,-0.00781384579553004,-0.00765048148252021
31-May-2019,133.881553107924,102.329823369565,0.0212665232248357,0.0255650952864919,98.516014428401,98.8557361143766,98.4238512300959,3.81380894116427,0.00429857206165618,121.349466640311,2.28003175706364,2.25381076960536,2.23043219332204,2.20882335343184,2.18703422559717,2.16361305298859,2.14255283908232,2.12302181295651,2.10315218469409,2.08182851345223,2.06270796136091,2.04520038594086,2.02878482671967,2.01257985638927,1.9994048212005,1.4276133183504,1.98509205350716,1.96814277484877,1.95214852940677,-19.9603469739074,-1.0712273878009,-1.03516383202519,-1.00383266539439,-0.974189280670961,-0.944539852504814,-0.913573489683608,-0.884780051182643,-0.85762091159162,-0.83038665325538,-0.802105357145032,-0.775714320313399,-0.750942418902803,-0.728140430374143,-0.704832718119094,-0.685101526225404,-0.199963970389031,-0.656003512168572,-0.633874126749456,-0.613477515143048,-0.201619666403105,-0.0109253175706364,-0.0106631076960536,-0.0104293219332204,-0.0102132335343184,-0.0099953422559717,-0.00976113052988587,-0.0095505283908232,-0.00935521812956508,-0.00915652184694093,-0.00894328513452226,-0.00875207961360907,-0.00857700385940862,-0.00841284826719672,-0.00825079856389265,-0.00811904821200498,-0.00240113318350402,-0.00797592053507164,-0.00780642774848774,-0.00764648529406766
