Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147
23-Apr-2015,102.2890625,139.952607044199,0.0610976365674945,0.0392566907977949,125.787132208239,278.150282050915,121.62549272632,14.1654748359602,-0.0218409457696995,108.034846658391,0.0668524654639084,0.0663123709514283,0.0657722172795066,0.0651856854525077,0.0646886047929256,0.0644414381345257,0.0641605367358525,0.0635944855825039,0.0631118102938099,0.0625650550686397,0.0620318360285528,0.0614944369218307,0.0609703423679272,0.0604421392770178,0.059927013070372,0.0594078486323289,0.0588987520257774,0.0583884957001202,0.0578908719452113,0.0573893471659608,0.0569002387879137,0.0564072961401606,0.0559265574231762,0.0554420500488108,0.0549669384231602,0.0544907444959926,0.0540263398464338,0.0535582945872289,0.0531018368665866,0.0526418008346968,0.0521931540544978,0.051740990195395,0.051297594867429,0.0508531894874872,0.050419786386441,0.0499829857063398,0.0495569990332718,0.0491276729207889,0.0487089757651996,0.0482869963149457,0.0478732000484516,0.0474584611564716,0.047053990081139,0.0466463482337225,0.0462487984992668,-0,0,0,0,0,4.30824244573737,4.30982576690996,4.30933066945201,4.31093125981091,4.3117157141786,4.31230557188301,4.31283877492653,4.31337615791128,4.31390023674234,4.31386753146527,4.31446887671146,4.31516059215253,4.31437480747503,4.31600717868928,4.31650473277686,4.31722206787528,4.31788385622403,4.3185495179328,4.31907344257682,4.31955794995119,4.32003306157684,4.32046605041145,4.32093045041696,4.32144170541277,4.32189816313341,4.3223581991653,4.3228068459455,4.32325900980461,4.32370240513257,4.32414681051251,4.32445047620715,4.3223355037448,4.31432661245424,4.29753786333684,4.27831245677604,4.24346704549415,4.20960203606487,4.16469615073685,4.1178675105974,4.06488676498326,4.01755727762485,-0.0365984665839099,0.0430814753453609,0.0430868762904857,0.0430922778272049,0.0430981431454749,0.0431031139520707,0.0431055856186547,0.0431083946326415,0.043114055144175,0.0431188818970619,0.0431243494493136,0.0431296816397145,0.0431350556307817,0.0431402965763207,0.0431455786072298,0.0431507298692963,0.0431559215136767,0.0431610124797422,0.0431661150429988,0.0431710912805479,0.0431761065283404,0.0431809976121209,0.0431859270385984,0.0431907344257682,0.0431955794995119,0.0432003306157684,0.0432050925550401,0.0432097366015357,0.0432144170541277,0.0432189816313341,0.043223581991653,0.043228068459455,0.0432325900980461,0.0432370240513257,0.0432414681051251,0.0432458021361356,0.0432501701429366,0.0432544300096673,0.0432587232707921,0.043262910242348,0.0432671300368505,0.0432712679995155,0.0432754153884353,0.0432794600991886,0.0432835365176628,0.0432875120150073
24-Apr-2015,102.5703125,140.226778314917,0.0609551378255646,0.0386153993879579,126.130079805664,278.488466532295,121.938666801091,14.0966985092527,-0.0223397384376067,108.034369191607,0.0668311909841775,0.0663081567400298,0.0657872471533015,0.0652064482659099,0.0647045937438781,0.0644421820143291,0.0641771501268486,0.0636001162279993,0.0631102194363358,0.0625622380637129,0.0620278337376145,0.0614892506400441,0.0609640117328758,0.0604346657231747,0.0599184350414033,0.0593981676968644,0.0588879996280904,0.0583766794781141,0.0578780280388131,0.0573754773975273,0.0568853781894079,0.056391446653425,0.0559097529995655,0.0554242927450243,0.0549482561013151,0.0544711444533036,0.0540058539498895,0.0535369251101318,0.0530796146738311,0.0526187283012745,0.0521692610681912,0.0517162792287331,0.0512720905387225,0.0508268987646866,0.0503927372733034,0.0499551808587023,0.0495284655494652,0.0490984135423876,0.0486790167079122,0.0482563404023663,0.0478418689642099,0.047426461550672,0.0470213464683374,0.0466130635910089,0.0462148965239937,-0,0,0,0,0,4.30822646446112,4.30982502315661,4.3093140618757,4.31092562978479,4.31171730497244,4.31230838880343,4.3128427770974,4.31338134403748,4.31390656718748,4.31387500382334,4.3144774535395,4.31517027211991,4.31438555557176,4.31601899325701,4.31651757488511,4.31723593639544,4.3178987160795,4.31856536726104,4.31909024700043,4.31957570725498,4.32005174389869,4.32048565025814,4.32095093610865,4.32146307488987,4.32192038532617,4.32238127169873,4.32283073893181,4.32328372077127,4.32372790946128,4.32417310123531,4.32456401665407,4.32279579583534,4.31534993105992,4.29934055071676,4.28171661395435,4.24808345986615,4.21603671023079,4.17281950871438,4.12776636101929,4.07478674580479,4.02836741729477,-0.0365936919160667,0.0430816880901582,0.0430869184325997,0.043092127528467,0.0430979355173409,0.0431029540625612,0.0431055781798567,0.0431082284987315,0.04311399883772,0.0431188978056366,0.0431243776193629,0.0431297216626239,0.0431351074935996,0.0431403598826712,0.0431456533427683,0.043150815649586,0.0431560183230314,0.0431611200037191,0.0431662332052189,0.0431712197196119,0.0431762452260247,0.0431811462181059,0.0431860855334657,0.0431909024700043,0.0431957570725498,0.0432005174389869,0.043205288555467,0.0432099414605011,0.0432146307488987,0.0432192038532617,0.0432238127169873,0.0432283073893181,0.0432328372077127,0.0432372790946128,0.0432417310123531,0.043246072627267,0.043250448191413,0.0432547153445053,0.0432590158645761,0.0432632098329209,0.0432674365959763,0.0432715813103579,0.0432757353844933,0.0432797865353166,0.0432838693640899,0.0432878510347601
27-Apr-2015,102.4765625,140.143042127072,0.0610441512129034,0.0389355928958568,126.005718677465,278.365228610999,121.744124430831,14.1373234496069,-0.0221085583170466,108.034144404758,0.0668347272851176,0.0662612068907875,0.0657251815001683,0.0651825316043076,0.0647150860890271,0.06443220333339,0.0642620518835475,0.0636610319268391,0.0631009033513752,0.0625533127993722,0.0620192869863336,0.0614810827167914,0.0609562106722102,0.0604272317942988,0.0599113566128816,0.0593914449936102,0.0588816232325704,0.058370647654468,0.0578723298008437,0.0573701128857407,0.0568803367283021,0.0563867283434312,0.0559053474684523,0.0554202000544811,0.0549444678342599,0.0544676589476528,0.0540026614191106,0.0535340255421969,0.0530769985641518,0.0526163956028826,0.052167202551651,0.051714494813338,0.0512705727161427,0.0508256459445115,0.0503917407573348,0.0499544405021539,0.0495279729097881,0.0490981684444822,0.0486790109586689,0.0482565737974545,0.0478423348201437,0.0474271583465615,0.0470222664925143,0.0466142065837411,0.0462162550052232,-0,0,0,0,0,4.3082159771523,4.30983500014118,4.30922918983461,4.31086472078667,4.31172662068476,4.31231731380001,4.31285132359228,4.31338951171569,4.31391436801411,4.31388243656279,4.31448453097704,4.31517699415089,4.31439192941672,4.3160250242362,4.31652327232533,4.31724130042442,4.31790375728853,4.31857008552385,4.31909465253155,4.31957979994552,4.32005553216574,4.32048913572894,4.3209541286075,4.3214659744578,4.32192300143585,4.32238360439712,4.32283279744835,4.32328550518666,4.32372942728386,4.32417435405549,4.32447852099489,4.32167202396144,4.31422579981978,4.29730762044894,4.27959672235969,4.24652560308075,4.21292070281911,4.16844798826584,4.12309126760324,4.07080355485006,4.02308503692325,-0.0365914440475829,0.0430816527271488,0.0430873879310921,0.0430927481849983,0.0430981746839569,0.0431028491391097,0.0431056779666661,0.0431073794811645,0.0431133896807316,0.0431189909664862,0.0431244668720063,0.0431298071301367,0.0431351891728321,0.0431404378932779,0.043145727682057,0.0431508864338712,0.0431560855500639,0.0431611837676743,0.0431662935234553,0.0431712767019916,0.0431762988711426,0.043181196632717,0.0431861327165657,0.0431909465253155,0.0431957979994552,0.0432005553216574,0.0432053234105235,0.0432099733858089,0.043214659744578,0.0432192300143585,0.0432238360439712,0.0432283279744835,0.0432328550518666,0.0432372942728386,0.0432417435405549,0.0432460825924267,0.0432504555949785,0.0432547202709021,0.0432590183155552,0.0432632098904133,0.0432674342620255,0.0432715766517986,0.0432757284165344,0.0432797773350749,0.0432838579341626,0.0432878374499478
28-Apr-2015,102.12109375,139.79221339779,0.0612584418724915,0.0397684096166069,125.5931789145,277.958165423128,121.314345874698,14.1990344832896,-0.0214900322558846,108.079880678272,0.0668636486908417,0.0662364786757093,0.0656615061783502,0.0651186786363954,0.0646708318958123,0.0644152644467567,0.0642391998598251,0.0636578466724842,0.0630965483274953,0.0625502352476772,0.0620174447881809,0.0614804749829735,0.0609567965285836,0.0604290102053995,0.0599142879187965,0.0593955280178883,0.0588868255966535,0.0583769618417388,0.0578797184948433,0.0573785746429514,0.0568898353595865,0.0563972622792918,0.0559168816194087,0.0554327327297933,0.0549579702973959,0.054482124014048,0.0540180561208924,0.0535503479595518,0.0530942167494519,0.052634507528555,0.0521861772650402,0.0517343301833644,0.0512912433062293,0.0508471448913227,0.0504140390271568,0.0499775357689431,0.0495518370622733,0.0491227990652084,0.0487043808357315,0.0482826804257995,0.0478691557505258,0.0474546870260146,0.0470504774430173,0.0466430971358508,0.0462458005140725,-0,0,0,0,0,4.3082602101035,4.3098519361482,4.30925203386013,4.31086790569065,4.31173097553444,4.31232039125938,4.31285316573516,4.31339011943128,4.31391378217531,4.31388065843623,4.31448160008151,4.31517291153491,4.31438672913359,4.31601871093292,4.31651588466575,4.31723283942877,4.31789425913218,4.31855955169333,4.31908311838059,4.31956726727021,4.3200420297026,4.32047467080719,4.32093873405967,4.32144965204045,4.32190578325055,4.32236549247145,4.32281382273496,4.32326566981664,4.32370875669377,4.32415285510868,4.32449946925362,4.32208144895538,4.31359643497128,4.29672078860049,4.27844678961631,4.24195692728374,4.20800493210729,4.16141084840891,4.11401897765699,4.0597390734724,4.01024446548775,-0.0370488067827189,0.0430813635130916,0.0430876352132429,0.0430933849382165,0.043098813213636,0.0431032916810419,0.0431058473555324,0.0431076080014017,0.0431134215332752,0.043119034516725,0.0431244976475232,0.0431298255521182,0.0431351952501703,0.0431404320347142,0.043145709897946,0.043150857120812,0.0431560447198211,0.0431611317440335,0.0431662303815826,0.0431712028150516,0.0431762142535705,0.0431811016464041,0.0431860273772071,0.0431908311838059,0.0431956726727021,0.043200420297026,0.0432051787598595,0.0432098194387911,0.0432144965204045,0.0432190578325055,0.0432236549247145,0.0432281382273496,0.0432326566981664,0.0432370875669377,0.0432415285510868,0.0432458596097284,0.0432502246423106,0.0432544816293773,0.0432587720093479,0.0432629561916427,0.043267173195742,0.0432713084424947,0.0432754531297398,0.0432794952255698,0.0432835690286415,0.0432875419948593
29-Apr-2015,102.14453125,139.699197168508,0.0613255992254178,0.0397646829775766,125.608742594391,277.976697740942,121.305571196579,14.0904545741169,-0.0215609162478412,108.116759163085,0.0668823579464235,0.0662508366440616,0.0656686197628745,0.0651169722830914,0.0646652071253869,0.0644173915740176,0.0642253726685849,0.0636500927316449,0.0630976439346693,0.0625476024863389,0.0620112075779044,0.0614706369273713,0.0609434778460417,0.060412214921939,0.0598941326421512,0.0593720171809291,0.0588600545301673,0.0583469534439192,0.0578465824064071,0.0573423160664352,0.0568505605849586,0.056354976871644,0.0558716886006748,0.055384638013645,0.0549070583821068,0.0544284167715369,0.0539616502693871,0.0534912500703052,0.053032520510051,0.052570219819075,0.0521193888179604,0.0516650481750481,0.0512195424255159,0.0507730460186497,0.050337627197024,0.049898818714767,0.0494708970801793,0.0490396441492718,0.0486190906126457,0.0481952631390752,0.0477796772142168,0.0473631671638118,0.0469569907365131,0.046547652295593,0.0461484695499972,-0,0,0,0,0,4.30826583217403,4.30984980938255,4.30926585621185,4.31087565877856,4.31172987997109,4.31232302394174,4.31285940275832,4.31339995719174,4.31392710045829,4.31389745103245,4.31450175253642,4.31519642002079,4.31441348949164,4.31604871512956,4.31654901611513,4.31726909474201,4.31793353194307,4.31860183667813,4.31912831139933,4.31961536198636,4.32009294161789,4.32052837751263,4.32099513934712,4.32150874992969,4.32196747948995,4.32242978018092,4.32288061118204,4.32333495182495,4.32378045757448,4.32422695398135,4.32457587955552,4.32185735539927,4.3142394719612,4.29719271948432,4.27840134510225,4.24247531253951,4.20739959204784,4.16046022198373,4.11397800202531,4.0573180926442,4.00687155361513,-0.0374175916308532,0.0430811764205358,0.0430874916335594,0.0430933138023713,0.0430988302771691,0.0431033479287461,0.0431058260842598,0.0431077462733141,0.0431134990726836,0.0431190235606533,0.0431245239751366,0.043129887924221,0.0431352936307263,0.0431405652215396,0.0431458778507806,0.0431510586735785,0.0431562798281907,0.0431613994546983,0.0431665304655608,0.0431715341759359,0.0431765768393356,0.0431814943941504,0.0431864502312836,0.0431912831139932,0.0431961536198636,0.0432009294161789,0.0432057158322846,0.0432103834973061,0.043215087499297,0.0432196747948995,0.0432242978018092,0.0432288061118204,0.0432333495182495,0.0432378045757448,0.0432422695398135,0.0432466237280298,0.0432510118128523,0.0432552910291982,0.0432596035585073,0.0432638090938735,0.0432680473686093,0.0432722032278578,0.0432763683283619,0.0432804300926349,0.0432845234770441,0.0432885153045
30-Apr-2015,102.16796875,139.668680939227,0.06135697065347,0.039758519659586,125.6255479805,277.99472796011,121.298017626278,14.0431329587269,-0.021598450993884,108.173393919912,0.0668923892271716,0.0662503196267516,0.0656740517789507,0.0651373709883513,0.0646918743136696,0.0644242334276548,0.064274660063223,0.0636796538325666,0.0630966699519089,0.0625447778289796,0.0620065940288812,0.0614642365504231,0.0609353505659321,0.0604023630087297,0.0598826142081528,0.0593588346947952,0.0588452555338579,0.0583305495592692,0.0578286282492363,0.0573228144806985,0.0568295645052343,0.0563324893184796,0.0558477608691546,0.0553592732939716,0.0548802987778006,0.0544002733719818,0.0539321712079646,0.0534604388568779,0.0530004237582938,0.0525368411887792,0.0520847734411975,0.0516291998553226,0.0511824983444541,0.0507348167522293,0.0502982550211817,0.0498583077028139,0.0494292881357551,0.0489969414717407,0.0485753337681117,0.0481504564473955,0.0477338534067841,0.0473163363220893,0.0469091898492345,0.0464988859078297,0.0460987734126403,-0,0,0,0,0,4.308239177786,4.30984296869203,4.3092165860678,4.31084610092936,4.31173085391489,4.31232584851436,4.31286401616894,4.31340635737667,4.31393522749458,4.31390730136935,4.31451326935784,4.31520960118867,4.31442828256835,4.31606511671767,4.31656696775872,4.3172885945726,4.31795452697299,4.31862432400641,4.31915223913085,4.31964072670603,4.3201197012222,4.32055652063075,4.32102461811375,4.32153956114312,4.32199957624171,4.32246315881122,4.3229152265588,4.32337080014468,4.32381750165555,4.32426518324777,4.32465849796137,4.32246010444796,4.31332934674967,4.29615363742441,4.27779565298344,4.24191348701267,4.20666523908766,4.15998592171039,4.11320110142678,4.05688766918289,4.00587861705941,-0.0379839391991203,0.0430810761077283,0.0430874968037325,0.0430932594822105,0.0430986262901165,0.0431030812568633,0.0431057576657235,0.0431072533993678,0.0431132034616743,0.0431190333004809,0.0431245522217102,0.0431299340597112,0.0431353576344958,0.0431406464943407,0.0431459763699127,0.0431511738579185,0.043156411653052,0.0431615474446614,0.0431666945044073,0.0431717137175076,0.043176771855193,0.0431817043549477,0.0431866751068152,0.0431915223913085,0.0431964072670603,0.043201197012222,0.0432059972662802,0.0432106782879203,0.0432153956114312,0.0432199957624171,0.0432246315881122,0.043229152265588,0.0432337080014468,0.0432381750165555,0.0432426518324777,0.0432470174497882,0.0432514169229719,0.0432557071186424,0.0432600305852826,0.0432642466623189,0.043268495435526,0.0432726614659322,0.0432768366367791,0.0432809081015077,0.0432850111409217,0.0432890122658736
01-May-2015,101.836279030055,139.231914709945,0.061622182687223,0.0405624521973937,125.230404527611,277.601856792908,120.885332208971,14.0015101823338,-0.0210597304898292,108.212562134133,0.0669143253089299,0.0662379614411953,0.0656403010062817,0.0651074231425898,0.0646717474001706,0.0644031061740646,0.0642767290572485,0.0636830963743818,0.0630886120182114,0.0625414380045281,0.062007815789009,0.0614700156320613,0.0609455351120067,0.0604169482245081,0.0599014527898791,0.0593819213356281,0.058872469851295,0.0583618628717868,0.0578639020387594,0.0573620424715084,0.0568726124045482,0.0563793503941386,0.0558983049492822,0.0554134932075313,0.0549380878024569,0.054461604122672,0.053996921461385,0.0535286006139705,0.0530718786170891,0.0526115807613011,0.0521626830515015,0.0517102707422634,0.0512666361546249,0.0508219953521823,0.0503883669192229,0.0499513434360912,0.0495251436651395,0.049095607005977,0.0486767086336549,0.0482545305386877,0.0478405435598935,0.0474256176105177,0.0470209680861519,0.0466131503990621,0.0462154330874379,-0,0,0,0,0,4.30825929503858,4.30986409235399,4.30921451779792,4.31084265876622,4.31173891152627,4.31232918823861,4.31286279444546,4.31340057846841,4.31392504325405,4.31389271848721,4.31449443341351,4.3151865168565,4.31440107913664,4.31603380778902,4.31653169890753,4.31724937011231,4.31791148122607,4.31857746339937,4.31910169505072,4.31958650679247,4.32006191219754,4.32049519049337,4.32095986850783,4.32147139938603,4.32192812138291,4.3223884192387,4.3228373169485,4.32328972925774,4.32373336384537,4.32417800464782,4.32456838696445,4.32189137104462,4.31332027198856,4.2948011404084,4.27635425735106,4.23731164060755,4.20115257306857,4.15113917481946,4.10296740204465,4.04388198197667,3.99144238561307,-0.0383756213413281,0.0430808567469107,0.043087620385588,0.0430935969899372,0.0430989257685741,0.0431032825259983,0.0431059689382594,0.0431072327094275,0.0431131690362562,0.0431191138798179,0.0431245856199547,0.0431299218421099,0.0431352998436794,0.0431405446488799,0.0431458305177549,0.0431509854721012,0.0431561807866437,0.043161275301487,0.0431663813712821,0.0431713609796124,0.0431763795752849,0.0431812738759545,0.0431862064960586,0.0431910169505072,0.0431958650679247,0.0432006191219754,0.0432053839587733,0.0432100307853861,0.0432147139938603,0.0432192812138291,0.043223884192387,0.043228373169485,0.0432328972925774,0.0432373336384538,0.0432417800464782,0.0432461163308078,0.0432504865656391,0.0432547485633486,0.0432590439299402,0.0432632329136634,0.0432674546946131,0.0432715945644011,0.0432757438238948,0.0432797903191385,0.0432838684960094,0.0432878456691256
04-May-2015,101.708397370219,139.257553522099,0.0616492334103125,0.0408900353428612,125.106266843892,277.468058363257,120.691009023549,14.1512866782075,-0.0207591980674513,108.073018654925,0.0667986509877036,0.0661870597589107,0.0656269380119367,0.0650714956759974,0.0646036075549592,0.0643310675407463,0.0641617428334324,0.0635925932393531,0.0630660708204245,0.0625317965457151,0.0620106495648311,0.0614853164595731,0.0609728909606803,0.0604563493929059,0.0599524994205426,0.0594446022623998,0.0589464586884461,0.0584470843647764,0.0579599798317104,0.0574689626209675,0.0569900098638281,0.0565072099083278,0.0560362725057797,0.0555615522883795,0.0550959485299563,0.05462919441705,0.0541739086054909,0.0537149657008221,0.0532672991735569,0.0528160367552477,0.0523758620022781,0.0519321515361033,0.0514969620220898,0.0510606972972358,0.0506351517394838,0.0502061879778528,0.0497877639962673,0.0493659790150172,0.0489545574288286,0.0485398310898676,0.0481330690960456,0.0477253021264804,0.0473275541248408,0.0469266112037918,0.0465355195815626,-0,0,0,0,0,4.30832740217667,4.30993611874074,4.30932946377656,4.3109331519459,4.31176145182241,4.31233882940818,4.31285996075466,4.31338527809992,4.31389768822605,4.313853323623,4.31444339392938,4.31512384219783,4.31432711989503,4.31594859822703,4.31643563456547,4.31714245958567,4.31779408963667,4.31844960516377,4.31896372749422,4.31943844771162,4.31990405147004,4.32032760187489,4.3207828831336,4.32128503429918,4.32173270082644,4.32218396324475,4.32262413799772,4.3230678484639,4.32350303797791,4.32393930270276,4.32427836096355,4.32180970429185,4.3125826162746,4.29591691526082,4.27560375271079,4.23776773544747,4.20099837188396,4.15098152668215,4.10211415799615,4.04337272128119,3.99019498127374,-0.0369801865492462,0.043082013490123,0.0430881294024109,0.0430937306198806,0.04309928504324,0.0431039639244504,0.0431066893245925,0.0431083825716657,0.0431140740676065,0.0431193392917958,0.0431246820345429,0.0431298935043517,0.0431351468354043,0.0431402710903932,0.0431454365060709,0.0431504750057946,0.043155553977376,0.0431605354131155,0.0431655291563522,0.0431704002016829,0.0431753103737903,0.0431800999013617,0.0431849279009167,0.0431896372749422,0.0431943844771162,0.0431990405147004,0.0432037080558295,0.0432082609139451,0.0432128503429918,0.0432173270082644,0.0432218396324475,0.0432262413799772,0.043230678484639,0.0432350303797791,0.0432393930270276,0.0432436484826052,0.0432479381202215,0.0432521223600373,0.0432563402098498,0.0432604544257117,0.0432646016891013,0.0432686693090395,0.0432727469787352,0.0432767244587516,0.0432807338879621,0.0432846448041844
05-May-2015,101.587645150273,138.992662292818,0.0618163744198168,0.0412600124360831,124.933414391701,277.311902320563,120.496931199117,14.0592479011168,-0.0205563619837337,108.195704512174,0.06691552271516,0.0662653041848663,0.0656753341848604,0.0651249784880403,0.0646660495288557,0.0643812000194758,0.0642518766412562,0.0636559398582686,0.063078939784426,0.0625297119497738,0.0619941049420452,0.0614543227558688,0.0609279271449359,0.0603974281604884,0.0598800855282766,0.0593587100925784,0.0588474677869738,0.0583350833458614,0.0578354060170809,0.0573318335898722,0.0568407497374257,0.0563458377746536,0.0558631996074942,0.0553767991660469,0.0548998521023641,0.0544218395200988,0.053955681629529,0.0534858899321757,0.0530277490489219,0.0525660368532802,0.0521157751004393,0.0516620034548242,0.0512170510339039,0.050771104571697,0.050336217562773,0.0498979405107003,0.0494705327108655,0.0490397931700182,0.0486197359514511,0.0481964042913243,0.0477813002431851,0.0473652688362034,0.046959554990408,0.046550678512906,0.0461519421546439,-0,0,0,0,0,4.30826499017492,4.30988599478453,4.30923936151557,4.31086981229512,4.31174858337317,4.31234091394159,4.3128765048811,4.31341627087381,4.31394265069288,4.31391223542802,4.3145157976837,4.31520972577843,4.31442607120014,4.31606058356581,4.31656019093976,4.31727957627515,4.31794334230006,4.31861097568372,4.31913680039251,4.31962320083395,4.32010014789764,4.3205349546983,4.32100110792729,4.32151411006782,4.32197225095108,4.32243396314672,4.32288422489956,4.32333799654518,4.3237829489661,4.3242288954283,4.32457728916158,4.32233399417123,4.31255287888727,4.29438069732012,4.27480981130109,4.23399365858072,4.19632033408917,4.14535475628718,4.09514858866363,4.03601928532743,3.98111169335864,-0.0382070451217406,0.0430808447728484,0.0430873469581513,0.0430932466581514,0.0430987502151196,0.0431033395047114,0.0431061879998052,0.0431074812335874,0.0431134406014173,0.0431192106021557,0.0431247028805023,0.0431300589505796,0.0431354567724413,0.0431407207285506,0.0431460257183951,0.0431511991447172,0.0431564128990742,0.0431615253221303,0.0431666491665414,0.0431716459398292,0.0431766816641013,0.0431815925026257,0.0431865416222535,0.0431913680039251,0.0431962320083395,0.0432010014789764,0.043205781604799,0.0432104431837047,0.0432151411006782,0.0432197225095108,0.0432243396314672,0.0432288422489956,0.0432333799654518,0.043237829489661,0.043242288954283,0.0432466378243723,0.043251020594893,0.0432552946728913,0.0432596020682998,0.0432638026404855,0.0432680359570868,0.0432721869975681,0.043276347311638,0.0432804044500959,0.0432844932148709,0.0432884805784536
06-May-2015,101.275486680328,138.790271063536,0.0619477732461955,0.041977082013791,124.586585693504,276.969705526885,120.131737714598,14.2036853700322,-0.0199706912324045,108.00981730288,0.0668111176638838,0.0661880419958825,0.06563249287457,0.0651150221573646,0.0646732146092953,0.0643761996888443,0.0642857314742476,0.0636756204173407,0.0630746634628382,0.0625266810238246,0.0619922782839995,0.0614536994317463,0.0609284672458864,0.0603991306112735,0.0598829116091899,0.0593626585922527,0.0588525070868695,0.0583412060571855,0.0578425757148876,0.0573400488050493,0.0568499751487897,0.0563560717915685,0.0558744079853652,0.0553889801973232,0.0549129777355165,0.054435902697443,0.0539706501833158,0.0535017619340741,0.0530444933297779,0.0525836513809625,0.0521342296795725,0.0516812959536124,0.0512371566317537,0.0507920165308362,0.0503579075656574,0.0499204062379221,0.0494937467474469,0.0490637531086451,0.0486444152570587,0.0482218004723971,0.0478073914030146,0.0473920485457462,0.0469869984107627,0.0465787829946595,0.0461806836738179,-0,0,0,0,0,4.30825782853372,4.3098909942651,4.30920551853177,4.31085013390091,4.3117528595237,4.31234394477661,4.31287833148435,4.31341689417924,4.31394211060813,4.31391053324962,4.31451297199844,4.31520577767361,4.31442103391596,4.31605446171166,4.31655302224571,4.31727136179934,4.31793411734997,4.31860074176915,4.31912559201464,4.31961101980268,4.32008702226448,4.32052089166158,4.32098613952319,4.32149823806593,4.32195550667022,4.32241634861904,4.32286577032043,4.32331870404639,4.32376284336825,4.32420798346916,4.32459884601342,4.32239804441395,4.31218369399253,4.29396757802683,4.27218961282196,4.23202175695795,4.19352562891742,4.14169391385978,4.09053492819204,4.02980343724414,3.97394270877376,-0.0363481730288007,0.0430818888233612,0.0430881195800412,0.0430936750712543,0.0430988497784264,0.043103267853907,0.0431062380031116,0.0431071426852575,0.0431132437958266,0.0431192533653716,0.0431247331897618,0.04313007721716,0.0431354630056825,0.0431407153275411,0.0431460086938873,0.0431511708839081,0.0431563734140775,0.0431614749291313,0.0431665879394282,0.0431715742428511,0.0431765995119495,0.0431815002485121,0.0431864392820843,0.0431912559201464,0.0431961101980268,0.0432008702226448,0.0432056409730256,0.0432102934981668,0.0432149823806593,0.0432195550667022,0.0432241634861904,0.0432286577032043,0.0432331870404639,0.0432376284336825,0.0432420798346916,0.0432464209243434,0.0432507959376208,0.0432550625325255,0.0432593624689135,0.0432635558474294,0.043267781995276,0.0432719260859699,0.0432760795145425,0.0432801300158924,0.0432842121700534,0.0432881931632618
