Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129
20-Apr-2012,106.37890625,142.895132211538,0.0594078681808572,0.0299879250120179,130.627878124157,256.793541081545,126.448983431545,12.2672540873817,-0.0294199431688393,109.847614822465,0.0676858516525937,0.066870422693721,0.0661090069469701,0.0653677094802174,0.0647792335513876,0.0645041771000151,0.064177472093941,0.0635995231608691,0.0631365712419936,0.0625758056601629,0.0620260352036961,0.0614751331664864,0.0609379874379908,0.0603967492093534,0.0598690259791334,0.059337282038555,0.0588188160191121,0.0582963998197729,0.0577842268161468,0.0572709996178089,0.0567705879679786,0.0562663636940516,0.0557747301609547,0.0552793508840175,0.0547963414837622,0.0543096520467232,0.0538325052983708,0.0533543764490967,0.0528881867244065,0.0524184451116286,0.0519604331898026,0.0514989316863685,0.0510489541140954,0.0505955481737266,0.0501510323209748,0.0497056015307741,0.0492712933777157,0.0488336762414825,0.0484069866314118,-0,0,0,0,0,4.30815186048072,4.30976303861009,4.30931374002129,4.31092622278668,4.31169095422086,4.31229482161401,4.31284457557736,4.31339546108751,4.31393259070163,4.31391291427052,4.3145268556845,4.31523115168965,4.3144547115073,4.3160992616762,4.31661136297561,4.31734040477216,4.31801350056142,4.31869044896959,4.31922526983905,4.31972064911598,4.32020365851624,4.3206471410498,4.32112428302668,4.3216456235509,4.32206859215746,4.31981510269324,4.31806807130837,4.30629353406174,4.29766142352692,4.28353882975652,4.26356585780701,4.24121067536298,4.20283475406714,4.16354573164843,4.12627175684962,-0.0547261482246459,0.0430731414834741,0.0430812957730628,0.0430889099305303,0.0430963229051978,0.0431022076644861,0.0431049582289999,0.0431082252790606,0.0431140047683913,0.0431186342875801,0.0431242419433984,0.043129739647963,0.0431352486683351,0.0431406201256201,0.0431460325079065,0.0431513097402087,0.0431566271796144,0.0431618118398089,0.0431670360018023,0.0431721577318385,0.0431772900038219,0.0431822941203202,0.0431873363630595,0.0431922526983905,0.0431972064911598,0.0432020365851624,0.0432069034795328,0.0432116749470163,0.043216456235509,0.0432211181327559,0.0432258155488837,0.043230395668102,0.0432350106831363,0.043239510458859,0.0432440445182627,0.0432484896767902,0.0432529439846923,0.0432572870662228,0.0432616632375852,0.0432659301336859
23-Apr-2012,106.484375,143.100060096154,0.059334675775768,0.0298057834580874,130.758002026618,256.926110854996,126.505083602388,12.3420580695361,-0.0295288923176806,109.724614487797,0.0676761015897546,0.0668749160958405,0.0661032313188529,0.0653479815200502,0.0647552917930207,0.064499627808332,0.064141176128472,0.0635795957717202,0.0631357534564026,0.0625675895237144,0.0620106313437817,0.0614525924792088,0.0609085520038245,0.0603604308435261,0.059826059287084,0.0592876795693974,0.0587628050917538,0.0582339936876137,0.0577156118963162,0.0571962242714396,0.0566898654704931,0.0561797086236041,0.0556823490468396,0.055181258924622,0.0546927386339961,0.0542005540987591,0.0537180767939438,0.0532346633222289,0.0527633762638261,0.0522885542221336,0.0518256430779733,0.0513592597757512,0.0509045756855195,0.0504464811458973,0.0499974214883828,0.0495474905053507,0.0491088460283459,0.0486669114102929,0.048236062709677,-0,0,0,0,0,4.30817579074704,4.3097675871284,4.30935002328317,4.31094614798382,4.31169177197374,4.31230303750397,4.31285997897516,4.31341800109857,4.31396202525274,4.31394922682541,4.31456981636122,4.31528074919856,4.31451070003028,4.3161616590715,4.31667996828935,4.31741517338874,4.31809421902278,4.31877710317348,4.31931765095316,4.31981874107538,4.320307261366,4.32075623790678,4.32123871038682,4.32176533667777,4.3221501790037,4.32089590697064,4.31850532861655,4.30634617726335,4.29879946608224,4.28615148360668,4.26583654323758,4.24460980209219,4.20723195961821,4.16833540419441,4.13175668663665,-0.0534961448779737,0.0430732389841025,0.0430812508390416,0.0430889676868115,0.0430965201847995,0.0431024470820698,0.0431050037219167,0.0431085882387153,0.0431142040422828,0.043118642465436,0.0431243241047628,0.0431298936865622,0.0431354740752079,0.0431409144799618,0.0431463956915647,0.0431517394071292,0.043157123204306,0.0431623719490825,0.0431676600631239,0.0431728438810368,0.0431780377572856,0.0431831013452951,0.043188202913764,0.0431931765095316,0.0431981874107538,0.04320307261366,0.0432079944590124,0.0432128192320606,0.0432176533667777,0.0432223662373617,0.0432271144577787,0.0432317435692203,0.0432364074022425,0.0432409542431448,0.043245535188541,0.0432500257851162,0.0432545250949465,0.0432589115397165,0.0432633308858971,0.0432676393729032
24-Apr-2012,106.609375,142.932692307692,0.0594401937895914,0.0296390933699455,130.85841423309,257.027738947902,126.579836377045,12.0742780746027,-0.0298011004196459,109.980566963015,0.0678014313924311,0.0669819377018245,0.0661774949968534,0.0653733230963163,0.0647467044029477,0.0644992711011854,0.0640851682876325,0.0635391956254345,0.0631377712449654,0.0625650353895734,0.0620036360975578,0.061441188217984,0.0608928889109335,0.0603405168501209,0.0598020399010976,0.0592595631585459,0.0587307326076023,0.058197973916338,0.0576757604923396,0.0571525716725632,0.0566425438499722,0.0561287275532641,0.0556278364846556,0.0551232248095138,0.0546313068170066,0.0541357348697546,0.0536499721264047,0.0531633020702452,0.0526888743690391,0.0522109226305415,0.0517449939346766,0.0512756043319229,0.0508180223882918,0.0503570415372421,0.0499051852042124,0.0494524848891263,0.0490111724083123,0.0485665818692493,0.0481331751602149,-0,0,0,0,0,4.30818437401517,4.3097679437749,4.30940601152127,4.31098654368608,4.31168975426588,4.31230559156149,4.31286697401153,4.31342940501766,4.31397768787573,4.31396913763257,4.31459383238449,4.31530886279777,4.31454275968544,4.31619767380001,4.31671981411413,4.31745882205889,4.31814153827722,4.31882808373401,4.31937216351534,4.31987677519049,4.32036869318299,4.32082105648759,4.32130681437332,4.32183669792976,4.32222467940845,4.32080059439387,4.31871558830895,4.30629978635353,4.29771798390872,4.28342911106861,4.26389472316643,4.24145887141712,4.2027414058936,4.16341340693558,4.12571078615298,-0.0560556696301482,0.0430719856860757,0.0430801806229818,0.0430882250500315,0.0430962667690368,0.0431025329559705,0.0431050072889881,0.0431091483171237,0.0431146080437457,0.0431186222875503,0.0431243496461043,0.0431299636390244,0.0431355881178202,0.0431410711108907,0.0431465948314988,0.043151979600989,0.0431574043684145,0.043162692673924,0.0431680202608366,0.0431732423950766,0.0431784742832744,0.0431835745615003,0.0431887127244674,0.0431937216351534,0.0431987677519049,0.0432036869318299,0.0432086426513024,0.043213500278736,0.0432183669792976,0.0432231112563096,0.0432278907736946,0.0432325500606532,0.0432372439566808,0.0432418197761171,0.0432464295846276,0.0432509481479579,0.0432554751511087,0.0432598882759169,0.0432643341813075,0.0432686682483978
25-Apr-2012,106.6796875,142.964543269231,0.059435882474395,0.029507063765267,130.940120284461,257.098837486869,126.636203642448,12.0244229847698,-0.029928818709128,110.042285772231,0.0678313249573503,0.0669629607257399,0.0661441092975031,0.0653696281464551,0.0647610010322462,0.0644639517162301,0.0641678354013321,0.0635879088137927,0.0631193605111631,0.0625604519398521,0.0620124872371634,0.0614633797943047,0.0609279693821609,0.0603884651152532,0.059862418335784,0.0593323492977531,0.0588155023931853,0.0582947035741336,0.0577841024048352,0.0572724364142733,0.0567735335083859,0.0562708158914063,0.0557806381493278,0.0552867124104994,0.0548051072404479,0.0543198196212413,0.0538440343146154,0.0533672567926524,0.0529023720913887,0.0524339327890081,0.05197717831734,0.0515169314099116,0.0510681649806839,0.0506159671938609,0.0501726237947219,0.0497283558354629,0.0492951697727667,0.0488586714830643,0.048433061281948,-0,0,0,0,0,4.30817008424825,4.30980325715556,4.30932337334106,4.31093783585618,4.31170816426326,4.31231017487371,4.31285812313745,4.31340721410709,4.31394260845692,4.31392119703916,4.31453346240278,4.31523608393718,4.31445802380777,4.31610095768437,4.3166114873695,4.317338968105,4.31801055516829,4.31868599681675,4.31921936185067,4.3197132875895,4.32019489275955,4.32063697357695,4.32111275412573,4.32163274320735,4.32201118595605,4.31992930190999,4.31844041749168,4.30640531046916,4.29803148332755,4.28434023666235,4.26419329639088,4.24261570304455,4.2032441264835,4.1643436428304,4.12572770142276,-0.0566728577223127,0.0430716867504265,0.0430803703927426,0.043088558907025,0.0430963037185354,0.0431023899896775,0.0431053604828377,0.0431083216459867,0.0431141209118621,0.0431188063948884,0.0431243954806015,0.0431298751276284,0.043135366202057,0.0431407203061784,0.0431461153488475,0.0431513758166422,0.0431566765070225,0.0431618449760681,0.0431670529642587,0.0431721589759516,0.0431772756358573,0.0431822646649161,0.0431872918410859,0.0431921936185067,0.043197132875895,0.0432019489275955,0.0432068018037876,0.0432115596568538,0.0432163274320735,0.0432209762790861,0.0432256606721099,0.0432302282168266,0.0432348306859009,0.0432393183501932,0.0432438403280614,0.0432482737620528,0.0432527164416454,0.0432570483022723,0.0432614132851694,0.0432656693871805
26-Apr-2012,106.96875,143.203425480769,0.0593174699370724,0.0289221126611703,131.266190490192,257.42330479602,126.932706176141,11.9372349905769,-0.0303953572759021,110.139203052509,0.0678894305760861,0.0669924964093027,0.0661552972665054,0.065382244936625,0.0647794353052462,0.0644802496340483,0.0642017580435056,0.0636138943384086,0.0631231725504281,0.0625580645889053,0.0620040761893791,0.0614489868983031,0.0609077967555754,0.0603625218672151,0.0598309003796423,0.0592952663678599,0.058773044354309,0.0582468807610419,0.0577310704260795,0.057214235067417,0.0567103409984484,0.0562026436837532,0.0557076588468637,0.0552089380085375,0.054722704881698,0.0542328018087812,0.0537525385002325,0.053271320807407,0.0528021525563704,0.0523294431599707,0.0518685701620241,0.0514042186288697,0.0509514942176015,0.0504953527742853,0.050048186771776,0.0496001321563031,0.0491632965963385,0.0487231639287495,0.0482940519551969,-0,0,0,0,0,4.3081516588237,4.30978696200839,4.30928946257181,4.31091185318997,4.31170435237647,4.31231256215303,4.31286653393291,4.3134216065713,4.31396278047833,4.31394713613628,4.31456497594641,4.31527316315878,4.31450046486343,4.31614877380226,4.31666451192378,4.31739716421374,4.3180737445186,4.31875416834268,4.31929234115314,4.31979106199146,4.3202772951183,4.32072399051924,4.32120424902515,4.32172867919259,4.32211140348668,4.31999050109479,4.31872183577954,4.3074255331488,4.29948791026955,4.2864922513766,4.26647846471338,4.24685060624366,4.20955821281617,4.17156917641334,4.13511940866538,-0.0576420305250856,0.0430711056942391,0.043080075035907,0.0430884470273349,0.0430961775506337,0.0431022056469475,0.0431051975036595,0.0431079824195649,0.0431138610566159,0.0431187682744957,0.043124419354111,0.0431299592381062,0.043135510131017,0.0431409220324442,0.0431463747813279,0.0431516909962036,0.0431570473363214,0.0431622695564569,0.0431675311923896,0.0431726892957392,0.0431778576493258,0.0431828965900155,0.0431879735631625,0.0431929234115314,0.0431979106199146,0.043202772951183,0.0432076719819122,0.0432124746149977,0.0432172867919259,0.0432219784744363,0.0432267055684003,0.0432313142983798,0.0432359578137113,0.043240485057824,0.0432450464722572,0.0432495181322822,0.043253998678437,0.0432583670340366,0.0432627683607125,0.043267059480448
27-Apr-2012,107.0703125,143.137620192308,0.0593669530447878,0.0287656928094218,131.361034279878,257.520570910316,127.001976018145,11.77658591243,-0.030601260235366,110.178148942858,0.0679208584658663,0.0670264070325794,0.0661839406550451,0.065400013082249,0.0647890380902547,0.0644920867581499,0.0642000736491355,0.0636127557111838,0.0631269844841712,0.0625556162588865,0.0619955462195669,0.0614344187475599,0.0608873956192958,0.0603362981217442,0.059799052857293,0.059257806051605,0.0587301638747722,0.0581985916829748,0.0576775307538117,0.0571554860425857,0.0566465633017204,0.0561338499730757,0.05563402406376,0.0551304753222115,0.054639583641485,0.0541450356729636,0.0536602668532814,0.0531745827723643,0.0527011067111386,0.0522241040781421,0.0517590912503817,0.0512906148871951,0.0508339140153032,0.0503738115175753,0.0499228070469205,0.0494709510633548,0.0490304528058539,0.0485866736037663,0.0481540491120153,-0,0,0,0,0,4.30814206064803,4.3097751268966,4.30929114637664,4.31091299169195,4.31170054059521,4.3123150104096,4.31287506364682,4.313436174285,4.31398318100257,4.31397335568595,4.31459681901011,4.315310619729,4.31454332819078,4.31619705611986,4.31671804410049,4.31745590795116,4.31813751902645,4.31882296136542,4.31936597593624,4.31986952467779,4.32036041635851,4.32081175577739,4.32129651974939,4.32182541722764,4.32225567029993,4.32009577486639,4.31857180856817,4.30723605235552,4.29951833929458,4.28570455278608,4.26621289235699,4.24537699565985,4.20821665611952,4.17083550317902,4.13451764837101,-0.0580314894285785,0.0430707914153413,0.0430797359296742,0.0430881605934495,0.0430959998691775,0.0431021096190975,0.0431050791324185,0.0431079992635086,0.0431138724428882,0.0431187301551583,0.0431244438374111,0.0431300445378043,0.0431356558125244,0.043141126043807,0.0431466370187826,0.0431520094714271,0.043157421939484,0.0431626983612523,0.0431680140831703,0.0431732246924619,0.0431784451395741,0.0431835343669828,0.0431886615002692,0.0431936597593624,0.0431986952467779,0.0432036041635851,0.0432085496432704,0.0432133973314672,0.0432182541722764,0.0432229889328886,0.0432277589592186,0.0432324090874962,0.043237093851128,0.043241660859847,0.0432462618848242,0.0432507719295308,0.0432552904893665,0.0432596954719415,0.0432641332639623,0.0432684595088799
30-Apr-2012,107.12109375,143.276141826923,0.0593303737486459,0.0286983194130732,131.428307638976,257.586586362816,126.996289249275,11.847834187947,-0.0306320543355727,110.119050731546,0.0678657663094812,0.0669834831189009,0.0661670075233564,0.0654081593008474,0.0648049861539353,0.0644798705520535,0.0642464436844994,0.0636369951429388,0.0631178973516356,0.0625463636422856,0.0619861335980946,0.0614248480301325,0.0608776729293962,0.0603264244929646,0.0597890341947776,0.0592476434019028,0.0587198629305384,0.0581881535029216,0.0576669601047766,0.0571447847314113,0.0566357366125356,0.0561228989866622,0.055622953868498,0.0551192870088059,0.0546282821078777,0.0541336220190824,0.0536487452062686,0.0531629548419462,0.0526893770293187,0.0522122737613004,0.0517471646552755,0.0512785931374537,0.050821801297255,0.050361608961483,0.0499105182062253,0.0494585775554291,0.0490179984897244,0.0485741396212062,0.0481414391654008,-0,0,0,0,0,4.30812612023942,4.30978734102594,4.30924479257079,4.31088875492653,4.31170962736426,4.31232426274862,4.31288447598591,4.31344574471531,4.31399290340079,4.31398322773495,4.31460683627001,4.31532078136244,4.31455362501463,4.31620749283857,4.31672861326964,4.31746660829921,4.3181483451743,4.31883391224233,4.3193770461315,4.31988071299119,4.32037171789212,4.32082316931714,4.32130804128118,4.32183704515805,4.32222417675822,4.32010759784843,4.31879988492432,4.30785334929936,4.29983307544405,4.28740325449168,4.26782529705483,4.24724912269832,4.21000242404978,4.17378955602463,4.13855367626708,-0.0574405073154567,0.0430713423369052,0.043080165168811,0.0430883299247664,0.0430959184069915,0.0431019501384607,0.0431052012944795,0.043107535563155,0.0431136300485706,0.0431188210264836,0.0431245363635771,0.0431301386640191,0.0431357515196987,0.043141223270706,0.0431467357550704,0.0431521096580522,0.043157523565981,0.0431628013706946,0.0431681184649708,0.0431733303989522,0.0431785521526859,0.0431836426338746,0.0431887710101334,0.043193770461315,0.0431988071299119,0.0432037171789212,0.0432086637798092,0.0432135125479373,0.0432183704515805,0.0432231062297068,0.043227877262387,0.0432325283534472,0.0432372140686255,0.0432417819870274,0.0432463839103852,0.0432508948179378,0.0432554142244457,0.0432598200151027,0.0432642586037879,0.043268585608346
01-May-2012,107.015966530055,143.159555288462,0.0594078681808572,0.0289506761073635,131.302591839065,257.468752244169,126.848824570168,11.8569634493964,-0.0304571920734937,110.091728160309,0.0678735867687843,0.0670050961651986,0.0661836113781903,0.0654073970936978,0.0647956168157802,0.0644917718875265,0.0642124203278484,0.0636186889043412,0.0631237881711509,0.0625439029969501,0.0619755616584023,0.0614062246396696,0.0608512735286863,0.0602922647560371,0.05974738091883,0.0591985130293076,0.0586635138371743,0.0581246028667417,0.0575964200541427,0.0570673119152921,0.0565515731879227,0.0560320635098835,0.0555256807111043,0.0550155953698305,0.0545183987753313,0.0540175668055315,0.053526704950862,0.0530349831527236,0.0525556860945786,0.0520728845379995,0.0516022823263175,0.051128239190712,0.0506661740937612,0.0502007304941029,0.049744552529538,0.0492875753843939,0.0488421450574564,0.0483934578570274,0.0479561080059387,-0,0,0,0,0,4.30813548508029,4.30977544171369,4.30927880401927,4.31090705915144,4.31170373678038,4.31232672332014,4.31289504760845,4.31346436754707,4.31401930200952,4.31401738200632,4.3146484837145,4.315369906822,4.31460995156836,4.31627103457766,4.31679914344467,4.31754407414278,4.31823250439074,4.31892474681075,4.3194743192889,4.31998440463017,4.32048160122467,4.32093922337014,4.32143008031619,4.32196501684728,4.32235786501914,4.32089533971773,4.3189013840473,4.30692218350692,4.29821484959777,4.28587607608034,4.26690775148409,4.24564348763597,4.20770765287422,4.17084870662583,4.13531257713981,-0.0571672816030897,0.0430712641323122,0.043079949038348,0.0430881638862181,0.043095926029063,0.0431020438318422,0.0431050822811247,0.0431078757967215,0.0431138131109566,0.0431187621182885,0.0431245609700305,0.043130244383416,0.0431359377536033,0.0431414872647131,0.0431470773524396,0.0431525261908117,0.0431580148697069,0.0431633648616283,0.0431687539713326,0.0431740357994586,0.0431793268808471,0.0431844842681208,0.0431896793649012,0.043194743192889,0.0431998440463017,0.0432048160122467,0.0432098243319447,0.0432147329504914,0.0432196501684728,0.0432244431390542,0.04322927115462,0.0432339771767368,0.0432387176080929,0.0432433382590624,0.043247992695059,0.0432525544747046,0.0432571242461561,0.0432615785494254,0.0432660654214297,0.0432704389199406
02-May-2012,106.961620560109,143.19921875,0.0593992516240753,0.0290631857260544,131.252416960806,257.418063705756,126.775590211863,11.9468017891939,-0.030336065898021,110.105241880203,0.0678543513069494,0.0669747954703601,0.0661608160432139,0.0654029280100612,0.0648017333127922,0.0644827526503684,0.0642446139690731,0.063637813913598,0.0631180799053436,0.0625405998227339,0.0619745945207341,0.0614075764172492,0.0608548650046486,0.0602980915330413,0.0597553662653659,0.0592086523301662,0.0586757327821739,0.058138896632135,0.0576127276500741,0.0570856171490476,0.0565718064120916,0.0560542195100624,0.055549692077859,0.0550414567066599,0.0545460448525717,0.0540469920528868,0.0535578556495619,0.0530678439928181,0.0525901960423821,0.0521090376991536,0.0516400196802652,0.051167554692806,0.0507070106836854,0.050243081984295,0.0497883717501027,0.0493328478641675,0.0488888175079563,0.0484415238257733,0.0480055160133114,-0,0,0,0,0,4.3081293715192,4.30978445941758,4.30924662164582,4.31088793624593,4.31170944481785,4.31233002639526,4.3128960147171,4.31346301581004,4.3140157106413,4.3140115561616,4.31464049948591,4.31535976853507,4.31459773751094,4.31625674281339,4.3167828381318,4.3175257705565,4.31821227217823,4.31890259103213,4.31945030792214,4.31995854329334,4.32045395514743,4.32090979841703,4.32139892992899,4.32193215600718,4.32236657985958,4.32003785426573,4.3188636859402,4.30718569039276,4.29886614653913,4.28639632415291,4.26755655724533,4.24672372660935,4.20774878053906,4.17145135480338,4.13639037696707,-0.0573024188020295,0.0430714564869305,0.0430802520452964,0.0430883918395679,0.0430959707198994,0.0431019826668721,0.0431051724734963,0.0431075538603093,0.043113621860864,0.0431188192009466,0.0431245940017727,0.0431302540547927,0.0431359242358275,0.0431414513499535,0.0431470190846696,0.0431524463373463,0.0431579134766983,0.0431632426721783,0.0431686110336786,0.0431738727234993,0.0431791438285095,0.0431842819358791,0.0431894578048994,0.0431945030792214,0.0431995854329334,0.0432045395514743,0.0432095300794711,0.0432144214435044,0.0432193215600718,0.0432240980395762,0.0432289096230085,0.0432335998031973,0.0432383244530719,0.0432429298931631,0.043247569180157,0.043252116282499,0.0432566715213583,0.0432611118249204,0.0432655847617423,0.0432699448398669
03-May-2012,106.790087090164,143.207632211538,0.0594078681808572,0.0293918041712695,131.086289070767,257.244661986949,126.588413834266,12.1213431407718,-0.0300160640095877,109.922058070467,0.067750217449026,0.0668649706039663,0.0660686720936772,0.0653532855267492,0.0647798077181364,0.0644352886124282,0.0642796048720516,0.0636565291451713,0.0630982854140089,0.0625364661439836,0.0619856748681843,0.0614337621438056,0.0608956428609728,0.0603534356457467,0.0598247793113006,0.0592921069316698,0.0587727471375386,0.0582494419212789,0.057736408703883,0.0572223309158881,0.0567211009960536,0.0562160633813618,0.0557236477021845,0.0552274912873187,0.0547437348483982,0.0542563034554659,0.0537784398913242,0.0532996033643948,0.0528327339535555,0.0523623178744423,0.0519036584669963,0.0514415147602341,0.0509909209814287,0.0505369041754927,0.0500917993008156,0.0496457881622754,0.0492109237654147,0.048772755832867,0.0483455386240443,-0,0,0,0,0,4.30815128658957,4.30983191538664,4.30921164298965,4.31086922307303,4.31172923851741,4.31233415995,4.31288493470206,4.31343683086906,4.31397493400831,4.31395622090396,4.3145710961578,4.31527632227902,4.31450076196132,4.31614621300059,4.31665917439334,4.31738906909389,4.318062985059,4.31874074877927,4.31927635229782,4.31977250871268,4.3202562651516,4.32070048910757,4.32117834789307,4.32170039663561,4.32212404437378,4.31991442038582,4.31881647615489,4.30717219858071,4.29867038581552,4.28627808668838,4.26794915969598,4.24827639978278,4.20752200289033,4.17104547291886,4.13619513198619,-0.055470580704674,0.0430724978255097,0.0430813502939603,0.0430893132790632,0.0430964671447325,0.0431022019228186,0.0431056471138757,0.0431072039512795,0.0431134347085483,0.0431190171458599,0.0431246353385602,0.0431301432513182,0.0431356623785619,0.0431410435713903,0.0431464656435425,0.043151752206887,0.0431570789306833,0.0431622725286246,0.0431675055807872,0.0431726359129612,0.0431777766908411,0.0431827889900395,0.0431878393661864,0.0431927635229782,0.0431977250871268,0.043202562651516,0.0432074369654453,0.0432122156010868,0.0432170039663561,0.0432216726604644,0.0432263768212556,0.04323096341533,0.0432355848523977,0.0432400907901857,0.0432446309582451,0.0432490820069918,0.0432535421183773,0.0432578907623459,0.0432622724416713,0.0432665446137596
