Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39
24-Apr-2007,99.5625,100.215804303279,0.0451248980731562,0.0491602123056945,98.4886734258114,98.4415714071796,98.183182654736,1.72713087746725,0.00403531423253822,112.387290597379,1.09898330318258,1.08492579182337,1.07203618133591,1.06037528045882,1.0513017787175,0.578741187364382,1.04075505183325,1.02697967162785,1.0124538698753,-9.95390701047237,1.08507495025675,1.09392312628329,1.08120587059902,1.06963917032825,1.05542980987481,1.44017385661249,1.0205664589043,0.986965174793038,0,-0.10137290597379,0.0115101669681742,0.0116507420817663,0.0117796381866409,0.0118962471954118,0.011986982212825,0.0167125881263562,0.0120924494816675,0.0122302032837215,0.012375461301247
25-Apr-2007,99.5625,100.071849385246,0.0454782647594758,0.0468806195027796,99.4847611527903,99.4392585799501,99.1741262410683,0.587088232455599,0.00140235474330375,112.381416987765,1.09974699330458,1.08734821657603,1.07446614814463,1.06152792119868,1.05151469730007,0.570279399967856,1.03914395832027,1.02764571526388,1.01271575188484,-9.94773439777637,1.08435501194184,1.09111381918989,1.07845826636915,1.06799666417323,1.05463111181686,1.44620584221567,1.02192617349644,0.986427684239202,0.99337840428422,-0.101314169877645,0.0115025300669542,0.0116265178342397,0.0117553385185537,0.0118847207880132,0.0119848530269993,0.0167972060003214,0.0121085604167973,0.0122235428473612,0.0123728424811516
26-Apr-2007,99.359375,99.8497694672131,0.0460095336207034,0.0475115454046606,99.2242678545551,99.1714353774817,98.8994042053341,0.62550161265807,0.00150201178395726,112.436848246418,1.09944283865069,1.0855352850823,1.07247062397101,1.06037483486943,1.05090827495483,0.58316445116712,1.04007533507773,1.0267361258556,1.01225816672837,-10.0023644246757,1.08464174157561,1.09251244018294,1.08107794483846,1.06806926575753,1.05354597145919,1.43291184790967,1.01999069102277,0.987161713795786,0.994513185615422,-0.101868482464184,0.0115055716134931,0.011644647149177,0.0117752937602899,0.0118962516513057,0.0119909172504517,0.0166683554883288,0.0120992466492227,0.012232638741444,0.0123774183327163
27-Apr-2007,99.453125,99.9167520491803,0.0458854397391,0.0477791076869911,99.1215094623591,99.0623854884443,98.7835623645454,0.795242586821217,0.00189366794789114,112.639840440548,1.10056803473448,1.08606291179671,1.07298174459753,1.06116464261008,1.05177545830627,0.581274839106725,1.04142424520574,1.02691597942364,1.01229735244868,-10.2059402647505,1.08358100797546,1.09257610532555,1.08100887630929,1.06763359270402,1.05331126562129,1.435070263865,1.02052136734828,0.987016573764913,0.994481700281006,-0.103898404405482,0.0114943196526552,0.0116393708820329,0.0117701825540247,0.0118883535738992,0.0119822454169373,0.0166872516089327,0.0120857575479426,0.0122308402057636,0.0123770264755132
30-Apr-2007,99.75,100.281762295082,0.0451425510126664,0.0471546077522342,99.4292895407552,99.3558500336908,99.0565627180493,0.85247275432674,0.00201205673956784,112.644812537282,1.10137755319599,1.08640939186854,1.0730379189527,1.06124740391501,1.05177171762275,0.586846431814055,1.04190373554382,1.02662871301495,1.01203883075534,-10.210824355372,1.08281786682661,1.09094764646582,1.08168700058652,1.06988922400245,1.05557920536024,1.43348869195515,1.0201164857068,0.987248394884067,0.994899873275162,-0.103948125372819,0.0114862244680401,0.0116359060813146,0.011769620810473,0.0118875259608499,0.0119822828237725,0.0166315356818595,0.0120809626445618,0.0122337128698505,0.0123796116924466
01-May-2007,99.6773394808743,100.200307377049,0.0453545126350741,0.0474156965694563,99.329268037696,99.2551042784855,98.9434744852392,0.871039339353189,0.00206118393438226,112.670538226677,1.10081192657859,1.08575769367113,1.07255423314877,1.06097122633778,1.0516593179531,0.587374582698183,1.04197906009509,1.02663082693224,1.01199653621467,-10.2405755315026,1.0833510886951,1.09342144683488,1.08186071949825,1.06904388011196,1.05528277142414,1.43275082710567,1.0200528816557,0.987246688973952,0.995330024814132,-0.104205382266773,0.0114918807342141,0.0116424230632887,0.0117744576685123,0.0118902877366222,0.011983406820469,0.0166262541730182,0.0120802093990491,0.0122336917306776,0.0123800346378533
02-May-2007,99.6046789617486,100.165727459016,0.0454605810143214,0.0488855920602549,98.7106980555497,98.6319330651576,98.3080767108868,1.45502940346674,0.00342501104593351,112.801663790935,1.10224883319138,1.08751223107546,1.07479402194831,1.06365788013816,1.05604358676915,1.0564004403188,1.04263452081555,1.02770953910306,1.01243360623969,-10.3694365572651,1.08199650246215,1.08953003654684,1.07937968260136,1.06703169286733,1.05092043492579,1.02784438882827,1.01949941062335,0.986376179039219,0.994112332779779,-0.105516637909345,0.0114775116680862,0.0116248776892454,0.0117520597805169,0.0118634211986184,0.0119395641323085,0.011935995596812,0.0120736547918445,0.0122229046089694,0.0123756639376031
03-May-2007,99.360143442623,99.9905225409836,0.0458854397391,0.0493077828229485,98.54336477077,98.463503819519,98.1271926192035,1.44715777021365,0.00342234308384848,112.735148929172,1.10126872067711,1.08654607134038,1.07364784916757,1.06222227158402,1.05428374843298,1.05466631047695,1.04103380813109,1.02666995827163,1.01192664957065,-10.303231595251,1.08292046433049,1.09200622290063,1.08024418010942,1.0673370667546,1.05177592920338,1.02862049984527,1.0208510524141,0.987215110374381,0.995621446214772,-0.104851489291721,0.0114873127932289,0.0116345392865962,0.0117635215083243,0.0118777772841598,0.0119571625156702,0.0119533368952305,0.0120896619186891,0.0122333004172837,0.0123807335042935
04-May-2007,99.3343579234973,100.174692622951,0.045495950128795,0.0493316429793262,98.5463039116163,98.466501680657,98.117810728188,1.62838871133454,0.0038356928505312,112.707085206519,1.10100510388756,1.08624681853912,1.07352472855215,1.06228240950505,1.0542199974646,1.05527186288049,1.04146068653793,1.02632571584576,1.01173028017235,-10.2804650373808,1.08316897851416,1.09306681321894,1.08075724336285,1.06853013028878,1.05337456203346,1.02966449769507,1.02154202549008,0.987492910569633,0.995011633367508,-0.104570852065189,0.0114899489611244,0.0116375318146088,0.0117647527144785,0.0118771759049495,0.011957800025354,0.0119472813711951,0.0120853931346207,0.0122367428415424,0.0123826971982765
07-May-2007,99.2726263661202,100.227202868852,0.0454605810143214,0.0492547727506918,98.6184189115935,98.5392330135193,98.1534202389948,1.60878395725899,0.00379419173637041,112.578018542605,1.10037359550626,1.08532366462036,1.07259854417151,1.06151525136289,1.05326764553359,1.05524574700688,1.0413599079297,1.02544656343136,1.01121351677478,-10.1549209518307,1.08376430778029,1.09407365592893,1.08173758754243,1.06948177075608,1.054345138932,1.02997374642031,1.02327096114948,0.988202377776524,0.99667805294368,-0.103280185426047,0.0114962640449374,0.0116467633537964,0.0117740145582849,0.0118848474863711,0.0119673235446641,0.0119475425299312,0.012086400920703,0.0122455343656864,0.0123878648322522
