Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39
10-Mar-2005,98.4579326923077,99.3828125,0.0413791494640079,0.0427092371081534,100.732966864547,99.0113756815691,98.4838343698609,-1.35015436454688,0.00133008764414555,113.933533581463,0.488845144464124,0.48120692478174,0.474523410851815,0.468636228723726,0.46370120834624,0.460563058979568,0.459450204114725,0.452127649704141,0.444560358619332,-11.7875864657618,1.4658202098698,1.44613401449982,1.42261370274192,1.39807386862439,1.37483378865095,1.34700732339288,1.31789413388598,1.29504288059853,1.2736095327589,-0.119335335814631,0.0151115485553588,0.0151879307521826,0.0152547658914818,0.0153136377127627,0.0153629879165376,0.0153943694102043,0.0154054979588527,0.0154787235029586,0.0155543964138067
11-Mar-2005,98.0384615384615,99.0234375,0.0421868038222257,0.0429979009062578,100.616744849407,98.8756630744411,98.3372736781963,-1.59330734940743,0.000811097084032042,113.631921183792,0.487217802119858,0.480823507621168,0.474744177527793,0.46831205826515,0.462737551052659,0.459665167562373,0.457452417559403,0.45064418358684,0.44432287144955,-11.489546468502,1.46720207025801,1.44569392544247,1.42140115352007,1.39830855576858,1.37246791442019,1.3458213497974,1.31546915282952,1.29166695702732,1.26871692541803,-0.116319211837916,0.0151278219788014,0.0151917649237883,0.0152525582247221,0.0153168794173485,0.0153726244894734,0.0154033483243763,0.015425475824406,0.0154935581641316,0.0155567712855045
14-Mar-2005,98.0769230769231,99.1484375,0.0419054937006558,0.0429919136232724,100.654873131839,98.8857370527921,98.314380906663,-1.50643563183873,0.0010864199226166,113.65854909061,0.487782792312454,0.480859265429368,0.47449278604,0.468330839474876,0.463045321640475,0.459849254953502,0.458357525555695,0.451276242327478,0.444322394402795,-11.5160816207229,1.46662385887577,1.44552317457334,1.42143711182365,1.3980003928861,1.37210091955868,1.34553729690242,1.31687100167033,1.29061345621882,1.26818838408284,-0.116585490906102,0.0151221720768755,0.0151914073457063,0.0152550721396,0.0153166916052512,0.0153695467835952,0.015401507450465,0.0154164247444431,0.0154872375767252,0.015556776055972
15-Mar-2005,98.0324519230769,99.0078125,0.042221996683486,0.0438904714539801,98.2703263394582,98.8258551925223,98.2434805294423,0.737486160541806,0.00166847477049403,113.875535440462,0.488671172046031,0.482258935354566,0.476206713963806,0.4698766597358,0.464115325548084,0.221660471672763,0.459153928762896,0.4512375,0.444372117412579,-11.7311289295059,1.46644236176374,1.44423686488466,1.41987058392853,1.3951817628863,1.37195970314766,1.55275715915893,1.31411057185456,1.291249759125,1.26872343220182,-0.118755354404619,0.0151132882795397,0.0151774106464543,0.0152379328603619,0.015301233402642,0.0153588467445192,0.0177833952832724,0.015408460712371,0.015487625,0.0155562788258742
16-Mar-2005,98.3317307692308,99.2374320652174,0.0417298846666974,0.0436208571177903,98.4006021243486,98.9581871821689,98.3647625443629,0.836829940868768,0.00189097245109293,114.050589005407,0.489915277881437,0.483426251933083,0.47666232626158,0.471106263476755,0.464624566556683,0.218710874593455,0.459895112663074,0.451482851446051,0.444474852599139,-11.906222949122,1.46508419739943,1.44376304242222,1.42026864673328,1.39644567212824,1.37173511974693,1.55754139836423,1.31671267342871,1.29168009429479,1.26944851754237,-0.120505890054068,0.0151008472211856,0.0151657374806692,0.0152333767373842,0.0152889373652324,0.0153537543344332,0.0178128912540655,0.0154010488733693,0.0154851714855395,0.0155552514740086
17-Mar-2005,98.5372596153846,99.4201766304348,0.0413441112877648,0.0429065089100225,98.7272479156987,99.2896157758362,98.6853651226439,0.692928714736041,0.00156239762225763,113.938531057251,0.48883556804361,0.481795394129354,0.474732032778302,0.468922820293036,0.464044438530379,0.225739540866317,0.458054643153049,0.45096529957955,0.444200174824112,-11.7980145467071,1.46670597436823,1.44612025118391,1.42309026609752,1.39842465285715,1.37577075596395,1.5544650734562,1.31913425278257,1.29445084740635,1.27220863304283,-0.11938531057251,0.0151116443195639,0.0151820460587065,0.015252679672217,0.0153107717970696,0.0153595556146962,0.0177426045913368,0.0154194535684695,0.0154903470042045,0.0155579982517589
18-Mar-2005,98.4459134615385,99.2904211956522,0.0416596861631411,0.0430571741499297,98.6721118818906,99.2336969714038,98.6184603025337,0.618309313761543,0.00139748798678863,113.89349575521,0.489128327461799,0.482112762356403,0.475494632720236,0.469102085722359,0.46407219777341,0.225628498066323,0.457883073082591,0.450992710860726,0.444195127169995,-11.7552933345343,1.46702617660114,1.44578759385553,1.4224854681014,1.39797004838091,1.37460930515873,1.55284121991726,1.31835576082169,1.29318873533792,1.27081253622501,-0.118934957552098,0.015108716725382,0.015178872376436,0.0152450536727976,0.0153089791427764,0.0153592780222659,0.0177437150193368,0.0154211692691741,0.0154900728913927,0.0155580487283001
23-Mar-2005,97.6298076923077,98.8760190217391,0.042715377459793,0.0448718442693745,97.9339696367993,98.4846807219172,97.8145664385328,0.942049384939793,0.00215646680958148,113.793465288443,0.488705823228877,0.481763189730234,0.475299008647242,0.469070573340738,0.464085073558987,0.227405360178349,0.458178052903212,0.450953210241179,0.444081477555124,-11.6530051168581,1.46642385266279,1.44399503024757,1.41995403324682,1.39449299615539,1.3705890437589,1.54611022269164,1.31412568194953,1.28753671071174,1.2646505750432,-0.117934652884435,0.0151129417677112,0.0151823681026977,0.0152470099135276,0.0153092942665926,0.0153591492644101,0.0177259463982165,0.0154182194709679,0.0154904678975882,0.0155591852244488
29-Mar-2005,97.5817307692308,98.9568614130435,0.0426800937674701,0.044755952682638,98.0552727772679,98.6078979422721,97.8720193796936,0.901588635775624,0.00207585891516793,113.614549924037,0.488009014205836,0.481148896051191,0.474709218091371,0.468460319162945,0.463416785105635,0.233607319825529,0.457676560124821,0.450597656361258,0.443795355456372,-11.4814471819077,1.46696389423721,1.44511088285209,1.42044229356023,1.39540111860745,1.37006369189626,1.54055937601417,1.31404414753925,1.28900978576681,1.26601916447558,-0.116145499240371,0.0151199098579416,0.0151885110394881,0.0152529078190863,0.0153153968083706,0.0153658321489437,0.0176639268017447,0.0154232343987518,0.0154940234363874,0.0155620464454363
30-Mar-2005,97.7716346153846,99.0771059782609,0.0424332898682946,0.0442978887741154,98.2665559412631,98.8223654221303,98.0755199797192,0.810550036997782,0.0018645989058208,113.595316794073,0.487796357203603,0.481047681158953,0.474681278312928,0.468422172854901,0.463342743786361,0.234360246187696,0.457575838238356,0.450559789621375,0.443758060359406,-11.4700873726966,1.4680775404996,1.44613374467581,1.42129198486801,1.39588003166004,1.3728342261287,1.54189788420921,1.31667496144621,1.29001743595493,1.26801036999976,-0.115953167940726,0.015122036427964,0.0151895231884105,0.0152531872168707,0.015315778271451,0.0153665725621364,0.017656397538123,0.0154242416176164,0.0154944021037863,0.0155624193964059
