Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135
18-Apr-2013,107.177734375,146.006906077348,0.0606085296210703,0.0297282566517385,132.658872709369,273.226014368797,128.34450629629,13.3480333679792,-0.0308802729693318,109.453812497702,0.0674808554565317,0.0666375807143308,0.0658812567240602,0.0651686602046317,0.0645237572700694,0.0639523033236006,0.0640785704628468,0.0634368751732456,0.0629324702771615,0.062555173553262,0.0621862354517406,0.0618134126020376,0.061446841082598,0.0610784510967555,0.0607182224136344,0.0603542006884935,0.0599982434917336,0.0596385382297367,0.0592868018693019,0.0589313618870916,0.0585818817668356,0.058230667966183,0.057887234947466,0.057540185737335,0.0572008250469032,0.0568578910447974,0.0565225543941731,0.0561836868031595,0.0558505011955027,0.0555156627403077,0.0551882422880462,0.0548573742493159,0.05453383625301,0.0542068915507074,0.0538871899733301,0.0535641220856793,0.0532464712588788,0.0529272446485661,0.0526150901767578,0.0522996488622195,0.0519911958268357,-0,0,0,0,0,4.49581721413342,4.49778294356797,4.49684698203682,4.49856822788302,4.49938754702165,4.49980982810194,4.50017875513532,4.50055156680034,4.50091812732263,4.50070132145542,4.5011515281375,4.50169558473157,4.50070075580566,4.50223106116562,4.50258274828296,4.50316331693548,4.50369292232725,4.5042242893405,4.50461276505253,4.50495981426266,4.5052991749531,4.50559705253411,4.50593238583137,4.50631631319684,4.5066494988045,4.50698433725969,4.50717653835922,4.50507326945401,4.49989690431388,4.49273949722514,4.48489750664593,4.47385635678415,4.45753239076646,4.4341276031544,4.40926937748509,4.38116351909173,4.34619096843714,-0.0489131249770175,0.0449501914454347,0.0449586241928567,0.0449661874327594,0.0449733133979537,0.0449797624272993,0.044985476966764,0.0449842142953715,0.0449906312482675,0.0449956752972284,0.0449994482644674,0.0450031376454826,0.0450068658739796,0.045010531589174,0.0450142154890324,0.0450178177758637,0.0450214579931151,0.0450250175650827,0.0450286146177026,0.045032131981307,0.0450356863811291,0.0450391811823316,0.0450426933203382,0.0450461276505253,0.0450495981426266,0.045052991749531,0.045056421089552,0.0450597744560583,0.0450631631319684,0.045066494988045,0.0450698433725969,0.0450731175771195,0.0450764262575068,0.0450796616374699,0.0450829310844929,0.0450861281002667,0.0450893587791432,0.0450925352874112,0.0450957275535143,0.0450988490982324,0.0451020035113778,0.0451050880417316
19-Apr-2013,107.4765625,145.899300759669,0.0606813854929631,0.0292060903232274,132.954608954328,273.513760782706,128.609964717507,12.9446918053405,-0.0314752951697357,109.81789751369,0.0676844637916439,0.066789419763329,0.0659891454973708,0.0652474589228479,0.0645726121787082,0.063949302830274,0.0641305576670549,0.0634577727182199,0.0629268358173496,0.0625526888994997,0.062186812745676,0.0618170658162859,0.0614535006289156,0.0610881137863587,0.0607308040605945,0.0603697141875271,0.0600166064439119,0.0596597630077351,0.0593108078307263,0.0589581608931071,0.0586114098053765,0.058262921310052,0.0579221363824256,0.057577746131092,0.0572409688530741,0.0569006286501552,0.0565678118915644,0.0562314741082668,0.0559007595046161,0.0555683878446962,0.0552433634792135,0.0549149005284082,0.0545936984674508,0.0542690982591246,0.0539516735521799,0.0536308906602674,0.0533154708881662,0.0529984706950463,0.0526884779999666,0.0523752057466611,0.0520688585828309,-0,0,0,0,0,4.49576838267514,4.49778594355121,4.49679501302813,4.49854733263678,4.49939318125608,4.49981231268117,4.50017817785871,4.50054791369569,4.5009114679761,4.50069166031185,4.50113894825197,4.50168007278389,4.50068240019867,4.50220983935909,4.50255874568237,4.50313652034137,4.50366339576511,4.50419203631916,4.50457786361757,4.50492225386891,4.50525903114693,4.50555431535613,4.50588712878655,4.50626852589173,4.50659924049538,4.5069316121553,4.50707634625533,4.50474532085892,4.50001746550487,4.49254225820282,4.48469810580091,4.47311377730267,4.45624670274006,4.43279490829148,4.40739370233541,4.37910566898028,4.34377071074181,-0.0525539751369014,0.0449481553620836,0.0449571058023667,0.0449651085450263,0.0449725254107715,0.0449792738782129,0.0449855069716973,0.0449836944233294,0.0449904222728178,0.0449957316418265,0.044999473111005,0.0450031318725432,0.0450068293418371,0.0450104649937108,0.0450141188621364,0.0450176919593941,0.0450213028581247,0.0450248339355609,0.0450284023699227,0.0450318919216927,0.0450354183910689,0.0450388859019462,0.0450423707868995,0.0450457786361757,0.0450492225386891,0.0450525903114693,0.0450559937134985,0.0450593218810844,0.0450626852589173,0.0450659924049538,0.045069316121553,0.0450725663652079,0.0450758509947159,0.0450790630153255,0.0450823090174087,0.0450854832644782,0.0450886910933973,0.0450918452911183,0.0450950152930495,0.0450981152200003,0.0451012479425334,0.0451043114141717
22-Apr-2013,107.61328125,146.05304730663,0.0606385160947052,0.0289729486488053,133.113800344494,273.664293157269,128.690974999197,12.9392469621363,-0.0316655674458999,109.869839127936,0.0677003924007211,0.066802844464455,0.0660032177825764,0.065257927026702,0.0645712216392508,0.0639194602003424,0.0641334555091381,0.0634477383192007,0.0629138408877271,0.0625458475624067,0.0621859542927306,0.0618222184949236,0.0614645293789375,0.0611050133132157,0.0607534107066166,0.0603980540900911,0.0600505193773052,0.0596992740869039,0.0593557602041161,0.0590085786735302,0.0586671686294526,0.0583240147833918,0.0579884142407645,0.057649230539922,0.0573175127539792,0.0569822532654499,0.0566543733143349,0.056322992636638,0.0559971207747678,0.0556695844744639,0.0553492577132344,0.0550255108697337,0.0547088901539821,0.0543888889248681,0.0540759313772118,0.0537596324273065,0.0534485915771591,0.0531359620401504,0.0528302139231882,0.0525212013780206,0.052218990637773,-0,0,0,0,0,4.49576977254714,4.49781578110789,4.49679211620029,4.49855736593202,4.49940617566591,4.49981915381302,4.5001790362859,4.50054276117163,4.50090043955694,4.50067476348891,4.50111634477088,4.50165173571532,4.50064850083045,4.50217033381147,4.50251379960231,4.50308610709855,4.50360763972898,4.50413094345676,4.50451158575924,4.50485076946008,4.50518248724602,4.50547269155708,4.5058005682294,4.50617700736336,4.50650287922523,4.50683041552554,4.50697045625707,4.50477000443679,4.50003770913708,4.49300893885303,4.48516060042869,4.47415832895341,4.45764822236682,4.43428312672782,4.41018647059596,4.38243659819695,4.34764027616462,-0.0530733912793595,0.0449479960759928,0.0449569715553555,0.0449649678221742,0.044972420729733,0.0449792877836075,0.0449858053979966,0.0449836654449086,0.044990522616808,0.0449958615911227,0.0449995415243759,0.0450031404570727,0.0450067778150508,0.0450103547062106,0.0450139498668678,0.0450174658929338,0.0450210194590991,0.045024494806227,0.045028007259131,0.0450314423979588,0.0450349142132647,0.0450383283137055,0.0450417598521661,0.0450451158575924,0.0450485076946008,0.0450518248724602,0.0450551774673455,0.0450584562668567,0.0450617700736336,0.0450650287922523,0.0450683041552554,0.0450715074228677,0.0450747448913027,0.0450779110984602,0.0450811111107513,0.0450842406862279,0.0450874036757269,0.0450905140842284,0.0450936403795985,0.0450966978607681,0.0450997879862198,0.0451028100936223
23-Apr-2013,107.578125,146.00794198895,0.0606770968799286,0.0290627861891912,133.075358763701,273.615807287231,128.628068316773,12.932583225249,-0.0316143106907374,109.850451093757,0.0676648153374426,0.0667473182345734,0.0659412888081657,0.0652029710893715,0.0645249898034349,0.0638717203261885,0.0641047908364423,0.0634275051751346,0.0628976201218288,0.0625423441155208,0.0621948186708482,0.0618435124251169,0.0614979768759095,0.0611506067277517,0.060810814670137,0.060467325944578,0.0601313306339731,0.0597916799610185,0.0594594389735717,0.059123583467832,0.0587932448585978,0.0584611523375964,0.0581363046164321,0.0578079228098451,0.057486704851609,0.0571619922968902,0.0568443635435667,0.0565232792414617,0.0562074691981795,0.0558899823816238,0.0555794217326011,0.055265482430163,0.0549583919040849,0.0546479604767754,0.0543443012994017,0.0540373385511474,0.0537354180954394,0.0534318946123368,0.053134992678176,0.0528348606865785,0.0525412762564778,-0,0,0,0,0,4.49581598219167,4.49786351286627,4.49682077084035,4.49857759685043,4.49942239578298,4.4998226571548,4.50017017217371,4.50052146788026,4.5008669930634,4.50062917736932,4.50105894884392,4.50158247078802,4.50056772189828,4.50207794087418,4.50241013534789,4.50297111265468,4.50348156980365,4.50399380727393,4.50436369538357,4.50469207719016,4.50501329514839,4.50529295432303,4.50561057990007,4.50597672075854,4.50629253080182,4.50661001761838,4.50678537065005,4.50444003216894,4.49974356111391,4.49234502850727,4.48435263661146,4.47320648343632,4.45727449037921,4.43367648666558,4.40853560575811,4.38023774981513,4.34457853734385,-0.0528795109375658,0.0449483518466256,0.0449575268176543,0.0449655871119183,0.0449729702891063,0.0449797501019657,0.0449862827967381,0.0449839520916356,0.0449907249482487,0.0449960237987817,0.0449995765588448,0.0450030518132915,0.0450065648757488,0.0450100202312409,0.0450134939327225,0.0450168918532986,0.0450203267405542,0.0450236866936603,0.0450270832003898,0.0450304056102643,0.0450337641653217,0.045037067551414,0.045040388476624,0.0450436369538357,0.0450469207719016,0.0450501329514839,0.0450533800770311,0.0450565563645643,0.0450597672075854,0.0450629253080182,0.0450661001761838,0.045069205782674,0.0450723451756984,0.0450754160809591,0.0450785203952322,0.045081556987006,0.0450846266144885,0.0450876458190456,0.0450906810538766,0.0450936500732182,0.0450966513931342,0.0450995872374352
24-Apr-2013,107.78515625,146.048774171271,0.0606685207697377,0.0286966752355249,133.285758300118,273.837639103933,128.809658808547,12.7630158711529,-0.0319718455342128,109.968177489535,0.0677653996604793,0.0668401229026274,0.0660268422060149,0.0652909256286099,0.0646105681546125,0.0639391039231867,0.0641992436251637,0.0634897811785727,0.0629166392620979,0.0625425529703652,0.0621767361024784,0.0618070490862389,0.0614435428103405,0.0610782151744334,0.060720963346517,0.0603599319838259,0.0600068814571766,0.0596500958432907,0.0593011972103731,0.0589486074150516,0.0586019125142654,0.0582534804874118,0.0579127507799836,0.0575684163330486,0.0572316936258362,0.056891408571053,0.0565586457415122,0.0562223624578051,0.0558917014425748,0.0555593836395818,0.0552344119404831,0.0549060022132442,0.0545848521993113,0.0542603045886393,0.0539429313166432,0.0536222004038337,0.0533068317418049,0.0529898829148461,0.0526799404504446,0.0523667189592313,0.0520604214353638,-0,0,0,0,0,4.4957304449181,4.49779614072448,4.49672635111011,4.49851532769736,4.49940337740347,4.49982244830622,4.5001882541996,4.50055793012523,4.50092142549594,4.50070155733999,4.50114878758835,4.50168985400937,4.50069212129541,4.50221950517013,4.50256835495724,4.50314607295962,4.50367289258136,4.50420147704739,4.50458724922002,4.50493158366695,4.50526830637416,4.50556353534303,4.50589629484494,4.50627763754219,4.50660829855742,4.50694061636042,4.50713037009188,4.50475421356815,4.50020661289795,4.49273135085915,4.48524782863826,4.47424961809527,4.45814910159351,4.4345620589392,4.41064911644006,4.38213569852483,4.34689103944588,-0.0540567748953474,0.0449473460033952,0.0449565987709737,0.0449647315779398,0.0449720907437139,0.0449788943184539,0.0449856089607681,0.0449830075637484,0.0449901021882143,0.044995833607379,0.0449995744702964,0.0450032326389752,0.0450069295091376,0.0450105645718966,0.0450142178482557,0.0450177903665348,0.0450214006801617,0.0450249311854282,0.0450284990415671,0.0450319880278963,0.0450355139258495,0.0450389808748573,0.0450424651951259,0.0450458724922002,0.0450493158366695,0.0450526830637416,0.0450560859142895,0.0450594135425849,0.0450627763754219,0.0450660829855742,0.0450694061636042,0.0450726558805952,0.0450759399778676,0.0450791514780069,0.0450823969541136,0.0450855706868336,0.0450887779959617,0.0450919316825819,0.0450951011708515,0.0450982005954955,0.0451013328104077,0.0451043957856464
25-Apr-2013,108.03515625,146.050543853591,0.0606813854929631,0.0282601682557631,133.53481127703,274.097300458123,129.029218700018,12.5157325765608,-0.0324212172372,110.261749942496,0.0679302473934058,0.0669296922912325,0.0660883608657108,0.0653867521336832,0.0647328558923322,0.0640200911739934,0.0643941012573625,0.0636227136557106,0.0629354472477527,0.0625425573591641,0.0621584664175336,0.0617704270213966,0.0613889885763504,0.061005752833425,0.0606310998284942,0.0602525953910371,0.0598825677318462,0.0595087361886786,0.0591432767721937,0.0587740604332628,0.0584111248457696,0.0580464791439182,0.0576899998476737,0.0573298559446105,0.056977777627332,0.0566220799452943,0.0562743482739082,0.0559230419212784,0.0555777116527128,0.0552307542242022,0.0548915670644077,0.0545488930609404,0.0542138933969459,0.0538754499367313,0.0535445860710577,0.0532103209251667,0.0528817419748047,0.052551614794949,0.0522288809627701,0.0519028294271102,0.0515840799632297,-0,0,0,0,0,4.4956082158785,4.49771516724151,4.49653156167808,4.49838240984279,4.49938457017014,4.49982244391756,4.50020652333646,4.50059455109141,4.50097597809331,4.50077400808703,4.50123863852548,4.5017971798685,4.50081638529525,4.50236084503439,4.50272625328656,4.50332060423218,4.50386367071047,4.50440847632087,4.50481000015233,4.50517014405539,4.50552222237267,4.5058328612755,4.50618058946957,4.50657695807872,4.50692228834729,4.5072692457758,4.50751828076693,4.50533649529703,4.5003966059165,4.49365591655706,4.48591465176376,4.47492889172028,4.45865957170951,4.43598523168769,4.40955676494913,4.38285705870227,4.34852294691545,-0.0569924994249634,0.0449456975260659,0.0449557030770877,0.0449641163913429,0.0449711324786632,0.0449776714410767,0.0449847990882601,0.0449810589874264,0.0449887728634429,0.0449956455275225,0.0449995744264084,0.0450034153358247,0.045007295729786,0.0450111101142365,0.0450149424716658,0.0450186890017151,0.0450224740460896,0.0450261743226815,0.0450299126381132,0.0450335672322781,0.0450372593956674,0.0450408887515423,0.0450445352085608,0.0450481000015233,0.0450517014405539,0.0450552222237267,0.0450587792005471,0.0450622565172609,0.0450657695807872,0.0450692228834729,0.045072692457758,0.0450760843293559,0.0450795110693906,0.0450828610660305,0.0450862455006327,0.0450895541392894,0.0450928967907483,0.045096182580252,0.0450994838520505,0.0451027111903723,0.0451059717057289,0.0451091592003677
26-Apr-2013,108.10546875,146.189032285912,0.0606192369877427,0.0280971753807782,133.634328238551,274.206133223941,129.101855033408,12.5547040473609,-0.0325220616069646,110.007906685325,0.0677958327263147,0.0669265887778348,0.0661393836187167,0.0653818831016513,0.06467870970791,0.0640304641971841,0.0642083217886549,0.0634969542470336,0.062948859903121,0.062541875400286,0.0621440938872807,0.0617423124540066,0.0613474537161306,0.0609508228162338,0.0605631607839781,0.0601716005886113,0.0597888945989221,0.0594023402819599,0.059024526974601,0.058642914538684,0.0582678772862752,0.0578911568324798,0.0575229550187819,0.0571510507255835,0.0567875561664267,0.0564204064619019,0.0560615589776659,0.055699103077054,0.0553428922927849,0.0549850828020349,0.054635364324779,0.0542821292285255,0.0539368817066775,0.0535881625238417,0.0532473287987339,0.052903067795885,0.0525647384112314,0.052224890573449,0.0518927275889545,0.0515572245159672,0.0512293080497107,-0,0,0,0,0,4.49566233607275,4.49770479598173,4.49671727612397,4.49850815541793,4.49937115805128,4.49982312585598,4.50022089543554,4.50062266481537,4.50101751170748,4.50082892931542,4.50130656805853,4.50187816657145,4.50091002095892,4.50246722604568,4.50284498645918,4.50345173832362,4.50400691110759,4.50456379707909,4.50497704498122,4.50534894927442,4.50571244383357,4.50603453274216,4.50639337663792,4.50680089692295,4.50715710770722,4.50751491719797,4.50777447838251,4.50609900837221,4.50189044487825,4.49529492372698,4.48783372101306,4.47739841010818,4.46217504716854,4.43959909846184,4.41669642899945,4.3890119922627,4.35504538788805,-0.0544540668532532,0.0449470416727369,0.0449557341122217,0.0449636061638128,0.0449711811689835,0.0449782129029209,0.0449846953580282,0.0449829167821134,0.0449900304575297,0.0449955114009688,0.0449995812459971,0.0450035590611272,0.0450075768754599,0.0450115254628387,0.0450154917718377,0.0450193683921602,0.0450232839941139,0.0450271110540108,0.0450309765971804,0.045034754730254,0.0450385708546132,0.0450423212271372,0.0450460884316752,0.0450497704498122,0.0450534894927442,0.0450571244383357,0.045060795935381,0.0450643844102233,0.0450680089692295,0.0450715710770722,0.0450751491719797,0.0450786463567522,0.0450821787077147,0.0450856311829332,0.0450891183747616,0.0450925267120127,0.0450959693220412,0.0450993526158877,0.0451027510942655,0.0451060727241104,0.0451094277548403,0.0451127069195029
29-Apr-2013,108.01953125,146.276372582873,0.0606128122893996,0.0282843960558079,133.563000352418,274.117464718288,128.956366102111,12.7133722304554,-0.0323284162335917,109.852104399211,0.0676747990688488,0.06685918059095,0.0660969034776906,0.0653100928111944,0.0645747085694812,0.0639297690033923,0.0640532253125925,0.0633785909276519,0.0629183658005123,0.06253336664577,0.0621569432457518,0.0617766032558854,0.061402686949904,0.0610269622743844,0.0606596067670081,0.0602884290189029,0.0599255191573308,0.059558833310845,0.0592003152949674,0.0588380669902149,0.0584819368130839,0.0581240842853797,0.0577742028284355,0.057420680943818,0.0570750336660267,0.0567257900161205,0.0563843256764897,0.0560393084871529,0.0557001184036114,0.0553592878967857,0.0550260492996902,0.05468934343965,0.0543601376139197,0.0540275064852062,0.053702284627236,0.0533736789184551,0.053050623136719,0.0527260049619409,0.0524086175714686,0.0520879278458295,0.0517743813993268,-0,0,0,0,0,4.49576628729063,4.49780547405734,4.49687231831627,4.49862650571735,4.49940165093412,4.49983163435523,4.50020804646255,4.50058837504221,4.5009622801307,4.50075280203958,4.50121013557794,4.501761349824,4.50077345105033,4.50231075492582,4.50266922274917,4.50325660343581,4.50379286228376,4.50433087195546,4.50472579717156,4.50507931905618,4.50542496633397,4.50572915224178,4.50607061316677,4.50646069151285,4.50679988159639,4.50714071210321,4.5074288759608,4.5056469074452,4.50169322238287,4.49530775383373,4.48769654206482,4.47729188925471,4.46200996941868,4.43955681393532,4.41749920634727,4.38975854922405,4.35569197908937,-0.0528960439921121,0.0449482520093115,0.0449564081940905,0.0449640309652231,0.0449718990718881,0.0449792529143052,0.0449857023099661,0.0449844677468741,0.0449912140907235,0.0449958163419949,0.0449996663335423,0.0450034305675425,0.0450072339674411,0.045010973130501,0.0450147303772562,0.0450184039323299,0.045022115709811,0.0450257448084267,0.0450294116668915,0.0450329968470503,0.0450366193300979,0.0450401806318692,0.0450437591571462,0.0450472579717156,0.0450507931905618,0.0450542496633397,0.0450577420998388,0.0450611567432351,0.0450646069151285,0.0450679988159639,0.0450714071210321,0.0450747395070031,0.0450781065656035,0.0450813986238608,0.0450847249351479,0.0450879771537276,0.0450912632108154,0.0450944937686328,0.0450977399503806,0.0451009138242853,0.0451041207215417,0.0451072561860067
30-Apr-2013,107.828125,146.285954765193,0.0606213787394454,0.0286438140775949,133.377494816382,273.928534430673,128.748974028876,12.9084599488116,-0.0319775646618505,109.730546162878,0.0676413692062656,0.06678473964795,0.0659975643628482,0.0652332385189316,0.064530761171577,0.0638994964905018,0.064055549308021,0.0633895287854195,0.0629077947511365,0.0625306459635104,0.0621618525208859,0.0617891758532711,0.0614227480648027,0.0610545025229434,0.0606944150837971,0.060330536089865,0.0599747184622501,0.0596151542389971,0.0592635557927373,0.0589082551768746,0.0585589120861323,0.0582078359947615,0.0578645376345181,0.0575176245007525,0.0571783968720535,0.0568355973327594,0.0565003921660608,0.0561616574434381,0.0558286024762932,0.0554938953096839,0.0551666032374439,0.0548358649305177,0.0545124537919406,0.0541856372831202,0.0538660610592298,0.0535431198449805,0.0532255935675773,0.0529064921245192,0.0525944600470132,0.0522791424155328,0.0519708103231355,-0,0,0,0,0,4.49581021359379,4.4978357414239,4.49686999513424,4.49861556906275,4.49941222156065,4.49983435495587,4.50020313733469,4.500575802822,4.50094221961764,4.50072526619746,4.50117533213431,4.50171924696374,4.50072427142513,4.5022544418826,4.50260599110507,4.50318642156609,4.50371589085947,4.5042471210836,4.50463546236548,4.50498237549925,4.50532160312795,4.50561934602321,4.50595454783786,4.50633834255656,4.50667139752371,4.50700610469032,4.50728832342859,4.5058159927741,4.50154112401698,4.49528533420863,4.48811965451859,4.47770980897555,4.46282888004617,4.4407771109453,4.41700148582996,4.39083531148421,4.35622398609802,-0.0516804616287774,0.0449485863079373,0.0449571526035205,0.0449650243563715,0.0449726676148107,0.0449796923882842,0.044986005035095,0.0449844445069198,0.0449911047121458,0.0449959220524886,0.0449996935403649,0.0450033814747911,0.0450071082414673,0.045010772519352,0.0450144549747706,0.045018055849162,0.0450216946391013,0.0450252528153775,0.04502884845761,0.0450323644420726,0.0450359174482313,0.0450394108791387,0.0450429216400524,0.0450463546236548,0.0450498237549925,0.0450532160312795,0.0450566440266724,0.0450599960783394,0.0450633834255656,0.0450667139752371,0.0450700610469032,0.0450733339676256,0.0450766413506948,0.0450798754620806,0.0450831436271688,0.0450863393894077,0.0450895688015502,0.0450927440643242,0.0450959350787548,0.0450990553995299,0.0451022085758447,0.0451052918967686
01-May-2013,107.625341530055,146.443974447514,0.060548611198612,0.0289816505191598,133.204304403079,273.73569942667,128.553678708282,13.2396700444353,-0.0315669606794522,109.398296341305,0.0674213522173872,0.066562952616406,0.0658198054780848,0.0651360673672204,0.0644870567708258,0.0638211008539043,0.0641067159798669,0.0634179997181115,0.0628760597634952,0.0625265160312559,0.0621845673742931,0.0618388678210854,0.0614988165194175,0.0611569292266171,0.0608224706458358,0.0604843433288008,0.0601535630249978,0.0598191543326221,0.0594920118531904,0.0591612808891349,0.0588359536106198,0.058508869838318,0.058188893119135,0.0578654065178396,0.0575489488083857,0.0572290198174693,0.0569160424167119,0.0565996319106232,0.0562883911136407,0.0559754698780286,0.0556693479642779,0.0553598681442644,0.0550571128691727,0.0547510366170825,0.0544516109553492,0.0541489008397445,0.053851136587855,0.0535517646593491,0.0532588976460311,0.0529628181218343,0.0526731719736837,-0,0,0,0,0,4.49585389701642,4.49791412373324,4.49681884637073,4.49858710126186,4.49944395527889,4.49983848476422,4.50018042316273,4.50052611234495,4.50086615344508,4.50062285588206,4.50104729450005,4.50156545510553,4.50054549840021,4.50205047034898,4.50237756702847,4.50293341862614,4.50343886318706,4.50394609025038,4.50431110688087,4.50463459348216,4.50495105119161,4.50522592747273,4.50553890174371,4.50590036808938,4.50621160888636,4.50652453012197,4.5067855837292,4.50506684739508,4.50171843466417,4.49580342862995,4.48816789564896,4.4780549797739,4.46414849913027,4.44262160679879,4.42085997674783,4.39440869762482,4.36086724789661,-0.0483579634130518,0.0449507864778261,0.0449593704738359,0.0449668019452192,0.0449736393263278,0.0449801294322917,0.044986788991461,0.0449839328402013,0.0449908200028189,0.044996239402365,0.0449997348396874,0.0450031543262571,0.0450066113217892,0.0450100118348058,0.0450134307077338,0.0450167752935416,0.045020156566712,0.04502346436975,0.0450268084566738,0.0450300798814681,0.0450333871911087,0.0450366404638938,0.0450399113016168,0.0450431110688087,0.0450463459348216,0.0450495105119161,0.0450527098018253,0.0450558395758329,0.0450590036808938,0.0450621160888636,0.0450652453012197,0.0450683065203572,0.0450714013185574,0.0450744288713083,0.0450774896338292,0.0450804838904465,0.0450835109916026,0.0450864886341215,0.0450894823534065,0.0450924110235397,0.0450953718187817,0.0450982682802632
