Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123
25-Apr-2011,101.79296875,128.146322513812,0.0553730953447,0.0341364588396171,120.896211526985,218.21820429175,117.411215163432,7.25011098682677,-0.0212366365050829,111.31745786801,0.0687038502798576,0.0678584002759032,0.0670391510208003,0.0662530450473642,0.0656725774311749,0.0655578202173719,0.064949282252479,0.0642107938846336,0.0634772981984214,0.0625951445066278,0.0617393358930325,0.0608813349283936,0.0600489577328527,0.059214448211247,0.0584048608985583,0.0575931996413432,0.0568014578869319,0.0560120793658489,0.0552462752389553,0.0544785093282585,0.053733672361966,0.0529869273240855,0.0522624834527705,0.0515361837514813,0.050827708639955,0.0501213482230074,0.0494360829061469,0.0487490621242109,0.0480825588738481,0.0474143482217681,0.0467660933461539,0.0461161778162409,0.0454822122828386,0.0448501390438228,0.0442369423555304,0.0436221748225676,0.0430257670140839,-0,0,0,0,0,3.55761894540599,3.55883707461206,3.55880469999631,3.56039751930269,3.56138024089351,3.56229798334771,3.56315376628704,3.56401174151165,3.56484409373588,3.56521502610047,3.56609581578197,3.56705005967862,3.56677126269622,3.56848826232526,3.56925395923958,3.57020014373758,3.57108776432165,3.57197735254519,3.57273751654723,3.57346381624852,3.57417229136004,3.57484290299048,3.57542089453717,3.57338993712549,3.56768899412805,3.55272143149837,3.52892584342016,3.49467268584778,3.44865061739822,3.39731160755715,3.33984931912615,3.27857233005868,3.20532964238745,-0.076924578680098,0.0355629614972014,0.035571415997241,0.035579608489792,0.0355874695495264,0.0355932742256882,0.0355944217978263,0.0356005071774752,0.0356078920611537,0.0356152270180158,0.0356240485549337,0.0356326066410697,0.0356411866507161,0.0356495104226715,0.0356578555178875,0.0356659513910144,0.0356740680035866,0.0356819854211307,0.0356898792063415,0.0356975372476104,0.0357052149067174,0.0357126632763803,0.0357201307267591,0.0357273751654723,0.0357346381624852,0.0357417229136004,0.0357487865177699,0.0357556391709385,0.0357625093787579,0.0357691744112615,0.0357758565177823,0.0357823390665385,0.0357888382218376,0.0357951778771716,0.0358014986095618,0.0358076305764447,0.0358137782517743,0.0358197423298592
26-Apr-2011,102.17578125,128.447600138122,0.0552107861413216,0.0332994721401305,121.333257482789,218.649439273642,117.821093512996,7.11434265533205,-0.0219113140011911,111.364855124986,0.0687132306789752,0.0678560231837673,0.0670347504130754,0.0662533767750784,0.065676882059472,0.065558474159197,0.0649653879600861,0.064222365319611,0.0634759038296386,0.0625907007210138,0.0617319755211656,0.0608710923617931,0.0600359596607494,0.0591987282876666,0.0583865399083389,0.0575723105156008,0.0567781023809642,0.0559863034510217,0.0552181885543051,0.0544481433999725,0.0537011315869731,0.0529522425479917,0.052225754035471,0.0514974398716185,0.0507870343782013,0.0500787838768761,0.0493917183352311,0.0487029262114039,0.0480347370145695,0.0473648686714358,0.0467150372132939,0.0460635727414888,0.0454281272668487,0.0447946093955074,0.044180041105615,0.0435639284177072,0.0429662446930367,-0,0,0,0,0,3.55761464284392,3.55883642078141,3.5587885999257,3.56038594914057,3.56138163520651,3.56230242700001,3.5631611264381,3.56402198377098,3.56485709141804,3.56523074350886,3.56611413420725,3.56707094671545,3.56679460885999,3.56851403463146,3.56928204199209,3.57023050693293,3.57112030346961,3.57201203697443,3.57277424596453,3.57350256012838,3.5742129656218,3.57488546691096,3.57535798908505,3.57407976960285,3.56802284982797,3.55448783202887,3.53123051552606,3.49898298747356,3.45457322293731,3.40409508744066,3.34760115497159,3.2876508706304,3.21448127167492,-0.0773985512498615,0.0355628676932102,0.0355714397681623,0.0355796524958692,0.0355874662322492,0.0355932311794053,0.035594415258408,0.0356003461203991,0.0356077763468039,0.0356152409617036,0.0356240929927899,0.0356326802447883,0.0356412890763821,0.0356496404033925,0.0356580127171233,0.0356661346009166,0.035674276894844,0.0356822189761904,0.0356901369654898,0.035697818114457,0.0357055185660003,0.0357129886841303,0.0357204775745201,0.0357277424596453,0.0357350256012838,0.035742129656218,0.0357492121612312,0.0357560828166477,0.035762970737886,0.0357696526298543,0.0357763513132856,0.0357828496278671,0.0357893642725851,0.0357957187273315,0.0358020539060449,0.0358081995889439,0.0358143607158229,0.0358203375530696
27-Apr-2011,102.4765625,128.436377762431,0.0552287928405293,0.0327302140617141,121.634782686069,218.948792193145,118.097669406178,6.80159507636226,-0.0224985787788152,111.641982174041,0.0687746858367368,0.0678802431222292,0.0670638612626131,0.0663008790816439,0.0657301700869243,0.0655792191297733,0.0650508840612834,0.064274876118912,0.0634775496641073,0.0625864939791723,0.0617221711175249,0.0608557562708299,0.060015334990398,0.059172879575697,0.0583556989133036,0.0575365403676413,0.056737598299015,0.0559411535751494,0.0551686032233432,0.0543941830103355,0.0536429964055688,0.05288999164787,0.0521595780070483,0.0514273964916476,0.0507132848979618,0.050001405484702,0.049310883374783,0.0486186899427307,0.0479472632091157,0.0472742113713301,0.0466213519593907,0.0459669123831532,0.045328624091346,0.0446923309703827,0.044075127466207,0.0434564300983846,0.0428562944519924,-0,0,0,0,0,3.55756138039472,3.55881567933748,3.55870313374814,3.56033344411746,3.56137998943788,3.56230663361565,3.56317093054761,3.56403731940186,3.56487771546965,3.56525658808504,3.56614497088454,3.5671067132864,3.5668350967403,3.56855917818635,3.56933162038111,3.57028446246614,3.57117843574425,3.57207428725205,3.57284042199295,3.57357260350835,3.57428671510204,3.57496284452935,3.57547457527822,3.57394937076643,3.56825318705838,3.55457790277624,3.53150188775128,3.49764587520444,3.45456186132065,3.40408492555998,3.34812894657037,3.28749884281269,3.21293215381717,-0.080169821740412,0.0355622531416326,0.0355711975687777,0.0355793613873739,0.0355869912091836,0.0355926982991308,0.0355942078087023,0.0355994911593872,0.0356072512388109,0.0356152245033589,0.0356241350602083,0.0356327782888247,0.0356414424372917,0.035649846650096,0.035658271204243,0.035666443010867,0.0356746345963236,0.0356826240170099,0.0356905884642485,0.0356983139677666,0.0357060581698966,0.0357135700359443,0.0357211000835213,0.0357284042199295,0.0357357260350835,0.0357428671510204,0.035749985945153,0.0357568911662522,0.0357638131005727,0.0357705273679088,0.0357772578862867,0.0357837864804061,0.0357903308761685,0.0357967137590865,0.0358030766902962,0.0358092487253379,0.0358154356990162,0.0358214370554801
28-Apr-2011,102.8515625,128.75328038674,0.0550580072254379,0.0319197660561006,122.06046263423,219.376025155796,118.496319687536,6.69281775251031,-0.0231382411693373,111.689709135361,0.0688846200952487,0.0679287381061666,0.0670429970992819,0.0662599151661048,0.0657070677085328,0.0656130034502895,0.0650321483577598,0.0642857887759176,0.0634917031597724,0.0625832723371008,0.0617023354322375,0.0608195066444128,0.0599633969215136,0.059105448634026,0.0582734663960288,0.0574396974091604,0.0566267273974742,0.055816519732617,0.055030833233697,0.0542434594097347,0.0534799156790059,0.0527147321766129,0.0519727071710456,0.0512290886070096,0.0505040201501401,0.049781415364161,0.0490806804180176,0.0483784405871341,0.0476974542449151,0.0470150054296736,0.0463532111223664,0.0456899955584777,0.0450433243903042,0.0443988505111143,0.043773881817594,0.0431475709534639,0.0425402155661749,-0,0,0,0,0,3.55758447168397,3.5587819007603,3.55872186289417,3.56032253266085,3.56136583650835,3.56230985516107,3.56319076563783,3.56407356794079,3.56492965198039,3.56532400823775,3.56622719188927,3.56720354656058,3.56694592329348,3.56868379458015,3.56946937108296,3.57043517250161,3.57134150831678,3.57224954497071,3.57302729282895,3.57377091139299,3.57449597984986,3.57518283244999,3.57584780119559,3.57426098918365,3.56982598343446,3.55630240550323,3.53545252213588,3.50282014964661,3.46070831874514,3.41123871511806,3.35593118308755,3.29566241996572,3.22077464459739,-0.0806470913536141,0.0355611537990475,0.0355707126189383,0.0355795700290072,0.035587400848339,0.0355929293229147,0.0355938699654971,0.0355996785164224,0.0356071421122408,0.0356150829684023,0.035624167276629,0.0356329766456776,0.0356418049335559,0.0356503660307849,0.0356589455136597,0.0356672653360397,0.0356756030259084,0.0356837327260253,0.0356918348026738,0.035699691667663,0.0357075654059027,0.0357152008432099,0.0357228526782339,0.0357302729282895,0.0357377091139299,0.0357449597984986,0.0357521858463584,0.0357591931958198,0.0357662155941287,0.0357730254575509,0.0357798499457033,0.0357864678887763,0.0357931000444152,0.035799566756097,0.0358060114948889,0.0358122611818241,0.0358185242904654,0.0358245978443383
29-Apr-2011,103.21484375,128.88268301105,0.0549952424333782,0.0311645479199258,122.459002394265,219.767737835311,118.868254685419,6.42368061678499,-0.0238306945134523,111.542158350322,0.0688649517721452,0.0680750791901892,0.0672418835120414,0.0663623392361507,0.0656988481786852,0.0655850016498776,0.0648655993125939,0.0641430928029019,0.0634867305700553,0.0625783708945342,0.0616975029835328,0.0608147433377398,0.059958700664269,0.0591008195702039,0.058268902492001,0.0574351988048628,0.0566222924639576,0.0558121482535377,0.0550265232885885,0.0542392111307461,0.0534757271997945,0.0527106036256036,0.0519686367344942,0.0512250764097217,0.0505000647392947,0.0497775165468065,0.0490768364813359,0.0483746516489859,0.0476937186407541,0.0470113232740388,0.046349580797623,0.0456864171759366,0.0450397966542294,0.0443953732494169,0.0437704535026524,0.0431441916903954,0.0425368838704105,-0,0,0,0,0,3.55759268726844,3.5588098978004,3.55888835364717,3.56046521293731,3.56137080889917,3.56231475645659,3.56319559794156,3.56407833110456,3.56493434809675,3.56532863656093,3.56623175515435,3.56720804471502,3.56695035645303,3.56868816544722,3.56947368042467,3.57043942039826,3.57134569658657,3.57225367348043,3.57303136326551,3.57377492359028,3.57449993526071,3.57518673122836,3.57585164505539,3.5746939706629,3.56940043447744,3.55730790217448,3.53678020929771,3.50554392988206,3.4623943102679,3.41471521439323,3.36044674495579,3.30118158717046,3.22851576025599,-0.0791715835032237,0.0355613504822785,0.0355692492080981,0.0355775811648796,0.0355863766076385,0.0355930115182131,0.0355941499835012,0.0356013440068741,0.035608569071971,0.0356151326942994,0.0356242162910547,0.0356330249701647,0.0356418525666226,0.0356504129933573,0.035658991804298,0.03566731097508,0.0356756480119514,0.0356837770753604,0.0356918785174646,0.0356997347671141,0.0357076078886925,0.0357152427280021,0.035722893963744,0.0357303136326551,0.0357377492359028,0.0357449993526071,0.0357522248345319,0.0357592316351866,0.0357662534835101,0.0357730628135925,0.0357798867672596,0.0357865041920238,0.0357931358282406,0.0357996020334577,0.0358060462675058,0.0358122954649735,0.035818558083096,0.0358246311612959
02-May-2011,103.235399590164,128.942765883978,0.0549952424333782,0.0311593476808318,122.493061462692,219.792485759777,118.841865279822,6.44970442128609,-0.0238358947525463,111.866375013088,0.0688989742794014,0.0679575344288947,0.0671195829020115,0.0663637990242774,0.0657810183987214,0.0655443361212074,0.0651620089227047,0.0643282430494625,0.063453002822429,0.0625624450408512,0.0616986030448487,0.0608326681227799,0.0599927103267087,0.0591507174714785,0.0583339835057235,0.0575152707477657,0.0567167615185578,0.0559207463408744,0.0551486107712766,0.0543746044629698,0.0536238175200928,0.0528712115621987,0.0521411829819996,0.0514093856803772,0.0506956470784376,0.0499841377567406,0.0492939729573941,0.0486021360190392,0.047931053452473,0.0472583449795458,0.046605817044804,0.0459517081580711,0.0453137408393914,0.0446777661380861,0.0440608700009154,0.0434424792408719,0.0428426395454408,-0,0,0,0,0,3.55751055649011,3.55885055641593,3.55859204778042,3.56028008305727,3.56140453529768,3.5623306818325,3.56319449791324,3.56406040685726,3.5649003394546,3.56527874664332,3.56616668325197,3.56712798077931,3.56685592518605,3.56857958256361,3.56935161003423,3.57030403925143,3.57119761367078,3.57209306714992,3.572858817018,3.57359061431962,3.57430435292156,3.57498011208464,3.57567026998234,3.57339368977522,3.56998635003336,3.55720541792064,3.5373500016767,3.50492620171788,3.46442036161564,3.41577062399362,3.36139175193884,3.30241092759116,3.23074772339397,-0.0824137501308789,0.035561010257206,0.0355704246557111,0.0355788041709799,0.0355863620097572,0.0355921898160128,0.0355945566387879,0.0355983799107729,0.0356067175695054,0.0356154699717757,0.0356243755495915,0.0356330139695515,0.0356416733187722,0.0356500728967329,0.0356584928252852,0.0356666601649428,0.0356748472925223,0.0356828323848144,0.0356907925365913,0.0356985138922872,0.0357062539553703,0.0357137618247991,0.035721287884378,0.03572858817018,0.0357359061431962,0.0357430435292156,0.0357501586224326,0.0357570602704261,0.0357639786398096,0.0357706894654753,0.0357774165502045,0.035783941829552,0.0357904829184193,0.0357968625916061,0.0358032223386191,0.0358093912999908,0.0358155752075913,0.0358215736045456
03-May-2011,103.141991120219,129.064356008287,0.0549370358798709,0.0313406054219225,122.410503095743,219.712383755926,118.740727464504,6.65385291254424,-0.0235964304579483,111.77807995931,0.0688591578318034,0.0679388820540524,0.0671056481332841,0.0663382818441237,0.0657491499639363,0.0655310850780925,0.0651102359682981,0.0642960934517475,0.0634502820739725,0.0625577693465503,0.0616920584093072,0.0608242774395239,0.0599825555754081,0.0591388210398871,0.0583204235055013,0.0575000690713535,0.0566999840312473,0.0559024232365841,0.0551288128646061,0.0543533526850599,0.0536011792558153,0.052847207277647,0.0521158767679293,0.051382797547542,0.0506678313170567,0.0499551207846018,0.0492638126563507,0.0485708515163848,0.0478986997144878,0.0472249407062565,0.0465714144039745,0.0459163254314599,0.0452774224585127,0.0446405352061916,0.0440227734161524,0.0434035344736914,0.0428028910220247,-0,0,0,0,0,3.55754240962805,3.55886380520637,3.55864380261429,3.56031222911853,3.56140725593731,3.56233535738653,3.56320104235245,3.5640687972888,3.56491049390126,3.56529064117148,3.56618024135379,3.56714318093555,3.56687269596237,3.56859790310267,3.5693714051692,3.57032528911668,3.57122025080315,3.57211707119443,3.57288412323207,3.57361720245246,3.57433216868294,3.57500912876661,3.57570042998178,3.57399717666265,3.56908859337287,3.55702396394984,3.53709773543239,3.50599878593385,3.46499246893128,3.41773953790287,3.36425648483099,3.30574190575147,3.23450905758057,-0.0815307995931008,0.035561408421682,0.0355706111794595,0.0355789435186672,0.0355866171815588,0.0355925085003606,0.0355946891492191,0.035598897640317,0.0356070390654825,0.0356154971792603,0.0356244223065345,0.0356330794159069,0.0356417572256048,0.0356501744442459,0.0356586117896011,0.035666795764945,0.0356749993092865,0.0356830001596875,0.0356909757676342,0.0356987118713539,0.0357064664731494,0.0357139882074418,0.0357215279272235,0.0357288412323207,0.0357361720245246,0.0357433216868294,0.035750448792154,0.0357573618734365,0.0357642914848362,0.0357710130028551,0.0357777505929374,0.0357842858559603,0.0357908367456854,0.0357972257754149,0.0358035946479381,0.0358097722658385,0.0358159646552631,0.0358219710897798
04-May-2011,103.111082650273,129.131258632597,0.0549101956419036,0.0313947358481168,122.39327213271,219.685815972814,118.703825243361,6.73798649988633,-0.0235154597937868,111.652276056419,0.0687915396225612,0.0679135597217998,0.0670801392463088,0.0662639978852778,0.0656371140106932,0.0654394526505837,0.0649354283869553,0.0641734257596968,0.0634252911309832,0.0625518347930915,0.0617043566247198,0.0608545999991162,0.060030116670772,0.0592034167071537,0.058401304294012,0.0575970353901231,0.0568124050787329,0.0560300175736537,0.0552708996864771,0.054509740899954,0.0537712203508907,0.0530307142787205,0.0523122321949729,0.0515918184618203,0.0508889957503613,0.0501881820043857,0.0495082117253416,0.0488264133364326,0.0481648928633818,0.0475015938830348,0.0468580226127133,0.0462127210917849,0.0455831765068104,0.0449554314273454,0.0443463566206602,0.0437356443076063,0.0431430956820868,-0,0,0,0,0,3.55765439180403,3.55895542205637,3.55881854901298,3.56043488331714,3.56143224588066,3.56234129176195,3.56318874450598,3.56403847563888,3.56486293423273,3.56522605583952,3.56609937188859,3.56704622431342,3.5667603198833,3.56847032662881,3.56922933823948,3.57016891497673,3.57105021821013,3.57193356602842,3.57268776780503,3.57340818153818,3.57411100424964,3.57477606987743,3.57542027843889,3.57434973813437,3.56943105846485,3.55685624031367,3.53753006594394,3.50628104863753,3.46573454517905,3.4184055563016,3.36542055287581,3.30693950604636,3.23567043451559,-0.08027276056419,0.0355620846037744,0.035570864402782,0.0355791986075369,0.0355873600211472,0.0355936288598931,0.0355956054734942,0.0356006457161304,0.035608265742403,0.0356157470886902,0.0356244816520691,0.0356329564337528,0.0356414540000088,0.0356496988332923,0.0356579658329285,0.0356659869570599,0.0356740296460988,0.0356818759492127,0.0356896998242635,0.0356972910031352,0.0357049025910005,0.0357122877964911,0.0357196928572128,0.0357268776780503,0.0357340818153818,0.0357411100424964,0.0357481181799561,0.0357549178827466,0.0357617358666357,0.0357683510713662,0.0357749840611697,0.0357814197738729,0.0357878727890822,0.0357941682349319,0.0358004456857265,0.0358065364337934,0.0358126435569239,0.0358185690431791
05-May-2011,102.923924180328,129.455973756906,0.0547361073227077,0.0316687918054046,122.263522939658,219.523410270116,118.556284705091,7.19245081724844,-0.0230673155173031,111.228189179961,0.0685455154362654,0.0677051701101496,0.066890846251256,0.0660688130486583,0.0654270510605117,0.0652040674900853,0.0647273667610312,0.0640132695356463,0.0633497730326059,0.0625435227733227,0.0617604301238001,0.0609744073739612,0.060210961247068,0.0594446585313163,0.0587003660277109,0.0579532886024216,0.0572236855833711,0.056495401816435,0.0557880362583,0.0550780239481532,0.0543884050429254,0.0536962057883947,0.0530238883013778,0.0523490552018308,0.0516900066880921,0.0510321498513647,0.0503931883783633,0.0497518361011381,0.0491289051336539,0.0485036433433405,0.0478963407020279,0.047286765714445,0.0466914489022607,0.0460972085288283,0.0455200362884147,0.04494070444075,0.0443780125143699,-0,0,0,0,0,3.557864353924,3.55919076720139,3.55902653781733,3.560595021924,3.56150776095831,3.56234960353236,3.5631326726891,3.56391867185826,3.56468209508177,3.56498485261405,3.56580035202353,3.56669000672644,3.56634920389086,3.56800500753982,3.56871227406678,3.569600683074,3.57043306437733,3.57126808117366,3.57197611169862,3.57265094479817,3.57330999331191,3.57393211047013,3.5745353194854,3.57321027244544,3.56857631783282,3.55786281063848,3.53832785563118,3.50776894055527,3.46934905571681,3.42311315295843,3.37201330501486,3.31427569345693,3.24447319530048,-0.0760318917996135,0.0355645448456373,0.0355729482988985,0.0355810915374874,0.0355893118695134,0.0355957294893949,0.0355979593250991,0.0356027263323897,0.0356098673046435,0.0356165022696739,0.0356245647722668,0.035632395698762,0.0356402559262604,0.0356478903875293,0.0356555534146868,0.0356629963397229,0.0356704671139758,0.0356777631441663,0.0356850459818356,0.035692119637417,0.0356992197605185,0.0357061159495707,0.0357130379421161,0.0357197611169862,0.0357265094479817,0.0357330999331191,0.0357396785014863,0.0357460681162164,0.0357524816389886,0.0357587109486635,0.0357649635665666,0.0357710365929797,0.0357771323428556,0.0357830855109774,0.0357890279147117,0.0357947996371159,0.0358005929555925,0.0358062198748563
06-May-2011,102.830515710383,129.530688881215,0.0547049289743629,0.0318058227263243,122.204107158025,219.432828925578,118.477902452923,7.32658172319036,-0.0228991062480386,111.172570802975,0.0685311582747366,0.0676057505788457,0.0667522692231446,0.0659662257380124,0.065343574238758,0.0650259464931204,0.0647513339114505,0.0640031506864934,0.0632821811676472,0.0625362589306301,0.0618110775226091,0.061082495536853,0.0603741722236853,0.0596625273850879,0.0589706702712301,0.0582755688465402,0.0575960834416318,0.0569171846013661,0.0562571629631098,0.0555940462994394,0.0549493680046003,0.0543016666335607,0.0536719749996096,0.0530393305660878,0.0524208990051591,0.0518030013042442,0.0512022846309427,0.0505987510297364,0.0500119990534701,0.0494224956336554,0.0488493837209124,0.0482735843266804,0.0477107207349243,0.0471483430342251,0.046601602593206,0.0460522983338788,0.0455182678191112,-0,0,0,0,0,3.55794779067688,3.55936885791778,3.55900257905542,3.56060513966008,3.5615753501196,3.56235686715714,3.56308202680972,3.56381058693801,3.56451888900148,3.56476701861929,3.56553008562261,3.56636775871034,3.56597695499174,3.56758328380448,3.56824321303971,3.56908470716473,3.5698721294638,3.57066262638311,3.57132802500039,3.57196066943391,3.57257910099484,3.57316126672577,3.5737619773919,3.57279276840823,3.56826702350475,3.55741357064416,3.53799308920339,3.50855401019059,3.47050719427901,3.42468382753107,3.37421498485076,3.31729083519731,3.24744900670379,-0.075475708029753,0.0355646884172526,0.0355739424942115,0.0355824773077686,0.0355903377426199,0.0355965642576124,0.0355997405350688,0.0356024866608855,0.0356099684931351,0.0356171781883235,0.0356246374106937,0.0356318892247739,0.0356391750446315,0.0356462582777631,0.0356533747261491,0.0356602932972877,0.0356672443115346,0.0356740391655837,0.0356808281539863,0.0356874283703689,0.0356940595370056,0.035700506319954,0.0357069833336644,0.0357132802500039,0.0357196066943391,0.0357257910099484,0.0357319699869576,0.0357379771536906,0.0357440124897026,0.0357498800094653,0.0357557750436634,0.0357615061627909,0.0357672641567332,0.0357728927926508,0.0357785165696577,0.0357839839740679,0.0357894770166612,0.0357948173218089
