Time,dirty_tips,dirty_trea,ytm_treasury,ytm_synthetic_treasury,price_trea,dirty_price_synthetic_treasury,clean_price_synthetic_treasury,arbitrage_profit_loss,arbitrage_ytm,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153
21-Apr-2016,101.708984375,136.683035714286,0.0578408004941693,0.03789373086583,123.337150823042,272.780974813848,119.51823142161,13.345884891244,-0.0199470696283393,107.271970462169,0.0664698979402078,0.065952727439067,0.0654456526113829,0.0649387432634256,0.0645281947378194,0.0643521042725633,0.0640741007931401,0.0635629011649737,0.0630900227542797,0.0625677969537691,0.0620555001335159,0.0615418375634527,0.0610406985206108,0.0605354359409346,0.0600424920896208,0.0595454921342035,0.0590606094573917,0.0585717370064709,0.0580921593948876,0.0576113032607641,0.0571421708052503,0.0566691781736276,0.0562077175017832,0.0557424597797886,0.0552885454339439,0.0548308961316007,0.0543819480287834,0.0539318030596927,0.0534926330050741,0.0530498493148336,0.0526178610648706,0.0521823182735361,0.0517573943832491,0.051328974079465,0.0509086992497919,0.0504873039949158,0.0500761827122015,0.0496616785883839,0.0492572804251337,0.0488495547408178,0.0484517697529902,0.048050711659479,0.0476572788075561,0.047262797089387,0.0468779331686277,0.0464899024609734,0.0461113322696448,-0,0,0,0,0,3.99605277879565,3.99746821058516,3.99702645014214,3.99849721575415,3.99925000084663,3.99981220508014,4.00032448653149,4.00083813369167,4.00133925770035,4.00132424972882,4.00189716385927,4.00255421241501,4.00183801478639,4.00336771303671,4.00384722350743,4.00452825675653,4.00515756130329,4.00579076351815,4.00629228249822,4.00675754022021,4.00721145456606,4.00762902717736,4.0080779707907,4.00856819694031,4.00900736699493,4.00945015068517,4.00988213893513,4.01031768172646,4.01074260561675,4.01117102592054,4.01159130075021,4.01201269600508,4.0119824506679,4.00264571207523,3.99056789820927,3.96640977951848,3.94544814599209,3.92259868862329,3.89186808864232,3.85334283888926,3.81504174459315,3.78412567450712,3.73833408026338,-0.0320947046216857,0.0399603010205979,0.0399654727256093,0.0399705434738862,0.0399756125673657,0.0399797180526218,0.0399814789572744,0.0399842589920686,0.0399893709883503,0.0399940997724572,0.0399993220304623,0.0400044449986648,0.0400095816243655,0.0400145930147939,0.0400196456405907,0.0400245750791038,0.040029545078658,0.0400343939054261,0.0400392826299353,0.0400440784060511,0.0400488869673924,0.0400535782919475,0.0400583082182637,0.0400629228249822,0.0400675754022021,0.0400721145456606,0.040076691038684,0.0400811805197122,0.0400856819694031,0.0400900736699493,0.0400945015068517,0.0400988213893513,0.0401031768172646,0.0401074260561675,0.0401117102592054,0.0401159130075021,0.0401201269600508,0.040124238172878,0.0401283832141162,0.0401324271957487,0.0401365044525918,0.0401404823024701,0.0401444928834052,0.0401484272119244,0.0401523720291061,0.0401562206683137,0.0401601009753903,0.0401638866773036
22-Apr-2016,101.6171875,136.517857142857,0.0579464720371918,0.0381462419631666,123.221318404041,272.681310586485,119.382112536889,13.2965387388157,-0.0198002300740252,107.379514428682,0.0665238125953101,0.0659683800232174,0.0654418470410972,0.0649452459732057,0.0645541165394713,0.064393605086405,0.0641228011565826,0.0636069743542147,0.0631030082099737,0.0625667153416239,0.0620407356259806,0.0615134706824033,0.0609991747176763,0.0604807616767724,0.059975099887104,0.0594653901401297,0.058968217572061,0.0584670650051665,0.0579755498272,0.0574828336351679,0.0570022366366295,0.0565177923311141,0.0560452637579623,0.0555689524677277,0.055104356864501,0.0546360420497286,0.0541767331391635,0.053716301910333,0.0532671957713675,0.0528144944181432,0.0523729280253349,0.051927826775944,0.0514936735494775,0.0510560448107995,0.0506268318693046,0.0501965701488441,0.0497768914478328,0.0493538531070414,0.0489412201143798,0.04852528388471,0.048119578314657,0.0477106249634589,0.0473095359688645,0.0469074669159817,0.0465152874358966,0.0461199684546191,0.0457343730166375,-0,0,0,0,0,3.99602686943647,3.99742671682646,3.99697776682382,3.99845314741296,3.99923701591035,3.99981328665984,4.00033925059609,4.00086649972172,4.00138078025756,4.0013789152451,4.00196454662688,4.00263430639888,4.00193036971497,4.00347237038393,4.00396381674978,4.00465671481986,4.0052974884752,4.00594214784681,4.00645473624204,4.00693104753227,4.0073956431355,4.00782387931069,4.00828318362817,4.00878369808967,4.00923280422863,4.00968550558186,4.01012707197467,4.01057217322406,4.01100632645052,4.0114439551892,4.0118731681307,4.01230342985116,4.01224158177914,4.00295275567985,3.99116312189386,3.96664995421229,3.94637681734199,3.92281055045445,3.88983621774408,3.85055167997427,3.81301684519111,3.77985541148767,3.73498951825048,-0.0331701442868174,0.0399597618740469,0.0399653161997678,0.039970581529589,0.0399755475402679,0.0399794588346053,0.0399810639491359,0.0399837719884342,0.0399889302564579,0.0399939699179003,0.0399993328465838,0.0400045926437402,0.040009865293176,0.0400150082528232,0.0400201923832323,0.040025249001129,0.0400303460985987,0.0400353178242794,0.0400403293499483,0.040045244501728,0.0400501716636483,0.0400549776336337,0.0400598220766889,0.0400645473624204,0.0400693104753227,0.040073956431355,0.0400786395795027,0.0400832326686084,0.0400878369808967,0.0400923280422863,0.0400968550558186,0.0401012707197467,0.0401057217322406,0.0401100632645052,0.040114439551892,0.040118731681307,0.0401230342985116,0.0401272310855217,0.0401314614689296,0.0401355877988562,0.0401397471611529,0.0401438042168534,0.0401478937503654,0.0401519046403114,0.0401559253308402,0.040159847125641,0.0401638003154538,0.0401676562698336
25-Apr-2016,101.4765625,136.428571428571,0.0580347090060931,0.0385396604166317,123.060073568129,272.520222543237,119.156948819641,13.3684978604428,-0.0194950485894614,107.316901253436,0.0664663302402729,0.0659237310788492,0.0654276863637715,0.0649625022626161,0.0645800441381371,0.064378235768476,0.064188601257974,0.0636412770211251,0.0630916271350396,0.0625577565230655,0.0620341331229478,0.0615092108453411,0.0609971810451797,0.0604810332795882,0.0599775624829693,0.0594700425561339,0.0589749876922018,0.0584759513826292,0.0579864936688315,0.0574958218274642,0.057017201247622,0.0565347313937701,0.0560641113545939,0.0555897063852213,0.0551269531510264,0.0546604782548882,0.0542029569646973,0.0537443007670434,0.0532969095031438,0.0528459201249198,0.0524060073777226,0.0519625566616714,0.0515299974215561,0.0510939593526759,0.0506662906796176,0.0502375611502033,0.0498193615335473,0.0493977985744379,0.0489865895118459,0.0485720733278642,0.0481677379664169,0.0477601507648616,0.0473603868678872,0.0469596313339339,0.0465687186508233,0.0461746620785977,0.0457902838257849,-0,0,0,0,0,3.99600095428305,3.99744208353161,3.99691198975247,3.99841884851935,3.99924839653005,3.99982224520963,4.00034585290105,4.00087075943098,4.00138277387025,4.00137864368574,4.00196208437578,4.00262965444812,4.00192360230287,4.00346348525057,4.00395287444028,4.0046437277965,4.00528252461244,4.00592520895354,4.00643588864541,4.00691029361478,4.00737304684897,4.00779944334989,4.00825696006487,4.00875569923296,4.00920309049686,4.00965407987508,4.01009399262228,4.01053744333833,4.01097000257844,4.01140604064732,4.01183370932038,4.0122624388498,4.01211886317707,4.00302931489998,3.99019489757322,3.9657206522728,3.9450850305135,3.92067449456756,3.88822104996101,3.84853404473324,3.80959273211346,3.77735398031508,3.73003714373086,-0.0325440125343586,0.0399603366975973,0.0399657626892115,0.0399707231363623,0.0399753749773738,0.0399791995586186,0.0399812176423152,0.0399831139874203,0.0399885872297887,0.0399940837286496,0.0399994224347693,0.0400046586687705,0.0400099078915466,0.0400150281895482,0.0400201896672041,0.0400252243751703,0.0400302995744387,0.040035250123078,0.0400402404861737,0.0400451350633117,0.0400500417817254,0.0400548279875238,0.0400596526860623,0.0400643588864541,0.0400691029361478,0.0400737304684897,0.0400783952174511,0.040082970430353,0.0400875569923296,0.0400920309049686,0.0400965407987508,0.0401009399262228,0.0401053744333833,0.0401097000257844,0.0401140604064732,0.0401183370932038,0.040122624388498,0.0401268063846645,0.0401310220142556,0.0401351341048815,0.0401392792667214,0.0401433226203358,0.0401473984923514,0.0401513961313211,0.0401554036866607,0.0401593128134918,0.040163253379214,0.0401670971617421
26-Apr-2016,101.5,136.380580357143,0.0580744683964003,0.0385520181360928,123.066719194607,272.53384579854,119.141296770401,13.3138611625357,-0.0195224502603075,107.374356200817,0.0665204451296856,0.0659738584371294,0.0654523294367083,0.0649526653960501,0.0645540420671435,0.0643823460416924,0.0641245425881144,0.0636035232980163,0.0630964757694179,0.0625555877702787,0.0620251405122526,0.061493436423571,0.0609748487426603,0.06045214817132,0.0599423419033747,0.0594284923899039,0.0589273188364174,0.0584221705029899,0.0579267730292255,0.0574302017710324,0.0569458802420561,0.0564577175856201,0.0559815972297732,0.0555017007895206,0.0550336427336855,0.0545618725351034,0.0540992088992777,0.0536354490378953,0.0531831294937479,0.0527272226281258,0.052282562357146,0.0518343755099666,0.0513972448152041,0.0509566472608976,0.0505245545449438,0.0500914380375325,0.0496690059180062,0.0492432235125292,0.0488279445727407,0.0484093720784774,0.0480011251913202,0.0475896405205116,0.0471860987231384,0.046781600782258,0.0463870812486307,0.0459894328022394,0.0456015937955032,-0,0,0,0,0,3.99602694387305,3.99743797395714,3.99697602600179,3.99845659808955,3.99924354808961,3.99982441389735,4.00035484524196,4.00088653337952,4.0014051055028,4.00140752417239,4.00199730002449,4.00267120045934,4.00197125209112,4.00351725860088,4.004012586719,4.00470934194713,4.00535384205196,4.00600222199156,4.00651840277023,4.00699829921048,4.00746635726631,4.00789804808362,4.00836070709281,4.0088645509621,4.00931687050625,4.00977277737187,4.01021743764285,4.01066562449003,4.0111027551848,4.0115433527391,4.01197544545506,4.01240856196247,4.01250996760247,4.0028223088686,3.99003152702079,3.96499829954204,3.94436557946577,3.91951608933826,3.88674355015798,3.84693775489862,3.80767665826817,3.77495762168649,3.72792273486215,-0.0331185620081688,0.0399597955487031,0.0399652614156287,0.0399704767056329,0.0399754733460395,0.0399794595793286,0.0399811765395831,0.0399837545741189,0.0399889647670198,0.0399940352423058,0.0399994441222972,0.0400047485948775,0.0400100656357643,0.0400152515125734,0.0400204785182868,0.0400255765809663,0.040030715076101,0.0400357268116358,0.0400407782949701,0.0400457322697077,0.0400506979822897,0.0400555411975794,0.0400604228241438,0.0400651840277023,0.0400699829921048,0.0400746635726631,0.040079381274649,0.0400840079110072,0.040088645509621,0.0400931687050625,0.0400977277737187,0.0401021743764285,0.0401066562449003,0.040111027551848,0.040115433527391,0.0401197544545506,0.0401240856196247,0.0401283099408199,0.0401325677648747,0.0401367205542726,0.0401409062792152,0.0401449887480868,0.0401491035947949,0.0401531390127686,0.0401571839921774,0.0401611291875137,0.0401651056719776,0.040168984062045
27-Apr-2016,101.9453125,136.848214285714,0.0578232110824684,0.0375535714141471,123.586454822634,273.05207975584,119.63028250993,13.2617594630807,-0.0202696396683213,107.420007660978,0.0665373909330169,0.0659852447268665,0.0654659115627967,0.0649732243330237,0.064578697403723,0.0644018874926288,0.0641591194776699,0.0636273077557436,0.0631012465806486,0.0625533431186686,0.0620160753965888,0.0614775943958248,0.0609524550558639,0.0604232093919355,0.0599070765697223,0.0593869078499538,0.0588796270772247,0.058368379625489,0.0578670563580278,0.0573646009830356,0.056874594680847,0.0563807567772722,0.0558991544359398,0.0554137862079436,0.0549404436934885,0.0544633998800369,0.053995616299953,0.0535267763529533,0.0530695526069615,0.0526087536025881,0.0521593715730124,0.0517064756033103,0.0512648007990687,0.0508196723213036,0.0503831845458523,0.0499457110768778,0.0495190766581673,0.0490891061741391,0.0486697888428594,0.048247192662184,0.0478350669250178,0.0474197185730837,0.0470124328404715,0.0466042273595152,0.046206135771263,0.0458049313081873,0.0454136672772745,-0,0,0,0,0,3.99600230037103,3.99741843582825,3.99694146121415,3.99843281624811,3.99923877746921,3.99982665848162,4.00036391008567,4.00090237493201,4.00142749851779,4.00143645832157,4.002032560421,4.00271278084083,4.00201892477361,4.00357104194766,4.00407229502986,4.00477493683105,4.00542512404889,4.0060791820303,4.00660084556406,4.00708621379206,4.00755955630651,4.00799651975396,4.00846429865621,4.00897322364705,4.00943044739304,4.00989124639741,4.01034062842699,4.01079352439669,4.01123519920093,4.0116803276787,4.01211681545415,4.01255428892312,4.01261975505873,4.00341750070023,3.99067041083876,3.96824947016572,3.94798134853661,3.92490157830607,3.89462139138803,3.85658518733984,3.81977660545202,3.78561460138997,3.74492873368076,-0.0335750766097762,0.0399596260906698,0.0399651475527313,0.039970340884372,0.0399752677566698,0.0399792130259628,0.0399809811250737,0.0399834088052233,0.0399887269224426,0.0399939875341935,0.0399994665688133,0.0400048392460341,0.0400102240560418,0.0400154754494414,0.0400207679060806,0.0400259292343028,0.0400311309215005,0.0400362037292278,0.0400413162037451,0.0400463294364197,0.0400513539901696,0.0400562540531915,0.0400611924322273,0.0400660084556406,0.0400708621379206,0.0400755955630651,0.0400803660011996,0.0400850438370005,0.0400897322364705,0.0400943044739304,0.0400989124639741,0.0401034062842699,0.0401079352439669,0.0401123519920093,0.040116803276787,0.0401211681545415,0.0401255428892312,0.0401298092334183,0.0401341089382586,0.0401383021115714,0.0401425280733782,0.0401466493307498,0.0401508028142692,0.0401548756715953,0.0401589577264048,0.0401629386422874,0.0401669506869181,0.0401708633272273
28-Apr-2016,102.265625,137.003348214286,0.0577485276626146,0.0368825095543515,123.941004873819,273.408579253756,119.956777414301,13.0623433404669,-0.0208660181082632,107.649390197851,0.0666622555982969,0.0660800503268938,0.0655375596052528,0.065031769032188,0.0646250099742957,0.0644270535352263,0.0642076063906011,0.063655630032103,0.0631067932705754,0.0625510941691999,0.0620062492522715,0.0614602412045893,0.0609278267193392,0.0603913149303226,0.0598681602823418,0.0593409795915521,0.0588269237322804,0.0583089118517757,0.0578010180306359,0.0572920399616585,0.0567957335468566,0.0562956077052752,0.0558079331304477,0.0553165055569177,0.0548373126957332,0.0543544321085956,0.0538809833793569,0.0534065239353988,0.0529438767606926,0.052477669190723,0.0520230684491428,0.0515649692352589,0.0511182749819621,0.0506681431023473,0.050226803416988,0.0497845215630502,0.0493532508764744,0.0489186612587699,0.0484948913004564,0.0480678601343912,0.0476514604504828,0.0472318562782659,0.0468204480183129,0.046408161487159,0.0460061393517863,0.0456010233734489,0.0452059932708915,-0,0,0,0,0,3.99595601003049,3.99739327406387,3.99689299127164,3.9984044970872,3.99923323100116,3.99982890736362,4.00037373593521,4.00091972760265,4.00145212611546,4.00146834768007,4.0020714712601,4.00275870450641,4.00207160703721,4.00363050139588,4.00413832411189,4.00484749132194,4.00550398123982,4.0061643302508,4.00669206686955,4.00718349444308,4.00766268730427,4.00810548643573,4.00857893043048,4.0090934760646,4.00955612323931,4.01002233080928,4.01047693155086,4.01093503076474,4.01138172501804,4.01183185689765,4.01227319658301,4.01271547843695,4.0128256973836,4.00366779283454,3.99212878085713,3.97063468521968,3.94896487501551,3.92865880986166,3.8991846881787,3.86159278548525,3.82486693855669,3.79122959211967,3.74958153412068,-0.0358689019785061,0.039958377444017,0.0399641994967311,0.0399696244039475,0.0399746823096781,0.039978749900257,0.0399807294646477,0.039982923936094,0.039988443699679,0.0399939320672942,0.039999489058308,0.0400049375074773,0.0400103975879541,0.0400157217328066,0.0400210868506968,0.0400263183971766,0.0400315902040845,0.0400367307626772,0.0400419108814822,0.0400469898196936,0.0400520796003834,0.0400570426645314,0.0400620439229473,0.0400669206686955,0.0400718349444308,0.0400766268730427,0.0400814556789141,0.0400861901662064,0.040090934760646,0.0400955612323931,0.0401002233080928,0.0401047693155086,0.0401093503076474,0.0401138172501804,0.0401183185689765,0.0401227319658301,0.0401271547843695,0.0401314674912353,0.0401358133874123,0.0401400510869954,0.0401443213986561,0.0401484853954952,0.0401526814372173,0.0401567955198169,0.0401609183851284,0.0401649386064821,0.0401689897662655,0.0401729400672911
29-Apr-2016,102.140625,136.947544642857,0.0577924450592815,0.0371447128071583,123.819786072229,273.278327425379,119.815373410771,13.1277585706281,-0.0206477322521232,107.505354993173,0.0665606951415925,0.0660281989182713,0.0655234707093321,0.0650191790847682,0.0645984672586751,0.0643837473391669,0.0641661677024976,0.0636163069829753,0.0630918673300584,0.0625471443671911,0.0620129690816471,0.0614775611172951,0.0609553930128737,0.0604291159554678,0.0599158529639492,0.0593985510939871,0.0588940413465859,0.0583855616002232,0.0578869277400368,0.0573871432174948,0.0568997176390001,0.0564084564972672,0.0559293435287759,0.0554464604091682,0.054975518286505,0.0545008703093018,0.0540354131208975,0.0535688818296141,0.0531138871783531,0.0526553121635761,0.0522080770416799,0.0517573226161853,0.0513177146917776,0.0508746474823662,0.0504401595513696,0.0500046689830753,0.0495799474628885,0.0491518837991599,0.0487344055269952,0.0483136421085761,0.0479032835572764,0.0474896958849718,0.0470841166676245,0.0466776015235886,0.046281138907578,0.0458815565180012,0.0454918552195194,-0,0,0,0,0,3.99598254000561,3.99743657289788,3.9969344154562,3.99844381581079,3.99924815634463,3.99983285704714,4.00036701630743,4.00090240820954,4.00142456064892,4.00143055270309,4.00202378525547,4.00270113876112,4.00200451626995,4.0035538623784,4.00405242642985,4.00475239662539,4.00540000234688,4.0060514825873,4.00657065647122,4.00705353959083,4.00752448171349,4.0079590496994,4.00842450223323,4.00893111817039,4.00938611282165,4.00984468783642,4.01029192295832,4.01074267738381,4.01118228530822,4.01162535251763,4.01205984044863,4.01249533101692,4.01267927733396,4.00355554679731,3.99156947073557,3.97039158472683,3.95020258511098,3.92848683206135,3.8986877436039,3.86121323613507,3.82452473485248,3.79076398840501,3.74899336136073,-0.0344285499317304,0.0399593930485841,0.0399647180108173,0.0399697652929067,0.0399748082091523,0.0399790153274132,0.0399811625266083,0.039983338322975,0.0399888369301702,0.0399940813266994,0.0399995285563281,0.0400048703091835,0.0400102243888271,0.0400154460698713,0.0400207088404453,0.0400258414703605,0.0400310144890601,0.0400360595865341,0.0400411443839978,0.0400461307225996,0.040051128567825,0.04005600282361,0.0400609154350273,0.0400657065647122,0.0400705353959083,0.040075244817135,0.040079991296907,0.040084645868791,0.0400893111817039,0.0400938611282165,0.0400984468783642,0.0401029192295832,0.0401074267738381,0.0401118228530822,0.0401162535251763,0.0401205984044863,0.0401249533101692,0.0401292005253711,0.0401334811620084,0.0401376559447301,0.0401418635789142,0.0401459671644272,0.0401501030411503,0.0401541588333238,0.0401582239847641,0.0401621886109242,0.04016618443482,0.0401700814478048
02-May-2016,101.922899590164,136.834821428571,0.0578936072959908,0.0376957620223424,123.577494326179,273.037486669246,119.510516881219,13.2573271023928,-0.0201978452736484,107.490344188993,0.0665741590215869,0.0660068815762355,0.0654737171927077,0.0649697724631811,0.0645599124396289,0.0643509965273757,0.064151829561897,0.0636106925777721,0.0630795678158783,0.0625380809498365,0.062007052666472,0.0614747724720538,0.0609556290214805,0.0604323744452477,0.059922033859439,0.0594076518583431,0.0589059648713727,0.0584003049974422,0.0579044117234604,0.0574073493699952,0.0569225545795183,0.0564339206723184,0.0559573463129659,0.0554769979349386,0.0550085046168302,0.0545363012742589,0.0540732183333233,0.0536090436639983,0.0531563248853755,0.0527000210017393,0.0522549787567995,0.0518064121977404,0.0513689163192094,0.0509279558866516,0.0504955124125475,0.0500620494432822,0.0496392843960009,0.0492131714489591,0.0487975750244049,0.0483786874688096,0.0479701381121091,0.0475583534304871,0.0471545221904129,0.0467497389091591,0.0463549457314904,0.0459570261648417,0.0455689273044165,-0,0,0,0,0,3.99602107631834,3.99746931814203,3.99694874857845,3.99844942959841,3.99926045536683,3.99984192019259,4.00037293254511,4.00090519677112,4.00142432464739,4.00142729473466,4.0020176052253,4.00269203890684,4.00199259751458,4.00353912104526,4.00403494489418,4.00473219229145,4.00537716654821,4.00602601866689,4.00654265368703,4.00702300206506,4.00749149538317,4.00792361908875,4.00838669739886,4.008890956336,4.00934367511462,4.00979997899826,4.0102450212432,4.01069358780226,4.01113108368079,4.01157204411335,4.01200448758745,4.01243795055672,4.01266007256822,4.00381547163566,3.99234952807473,3.9702068253721,3.94861128155569,3.92693412567671,3.89697309312376,3.85833285085608,3.81999652981804,3.78527042940173,3.74341823595574,-0.0342784418899333,0.0399592584097841,0.0399649311842376,0.0399702628280729,0.0399753022753682,0.0399794008756037,0.0399814900347262,0.039983481704381,0.0399888930742223,0.0399942043218412,0.0399996191905016,0.0400049294733353,0.0400102522752795,0.0400154437097852,0.0400206762555475,0.0400257796614056,0.0400309234814166,0.0400359403512863,0.0400409969500256,0.0400459558827654,0.0400509265063,0.0400557744542048,0.0400606607932768,0.0400654265368703,0.0400702300206506,0.0400749149538317,0.0400796369872574,0.0400842678166668,0.04008890956336,0.0400934367511462,0.0400979997899826,0.040102450212432,0.0401069358780226,0.0401113108368079,0.0401157204411335,0.0401200448758745,0.0401243795055672,0.04012860715604,0.0401328682855104,0.040137024249756,0.0401412131253119,0.0401452986188789,0.0401494164656951,0.0401534547780959,0.0401575026109084,0.0401614505426851,0.0401654297383516,0.0401693107269558
03-May-2016,102.118553620219,137.224330357143,0.0576871105211549,0.0371974904402377,123.843050776258,273.291600488204,119.749485721481,13.3812795808846,-0.0204896200809173,107.315400707013,0.0664800774495728,0.0659360087833558,0.065420124471176,0.064924719365782,0.0645202276356847,0.0643175620057417,0.0641145958153604,0.0635854072835561,0.0630689869217147,0.0625346879427883,0.0620106495648311,0.0614853164595731,0.0609728909606803,0.0604563493929059,0.0599524994205426,0.0594446022623998,0.0589491843036938,0.0584497868895398,0.0579599798317104,0.0574689626209675,0.0569900098638281,0.0565072099083278,0.0560362725057797,0.0555615522883795,0.0550984961021216,0.0546317204070515,0.0541739086054909,0.0537149657008221,0.0532672991735569,0.0528160367552477,0.0523758620022781,0.0519321515361033,0.0514993431813319,0.0510630582841077,0.0506351517394838,0.0502061879778528,0.0497877639962673,0.0493659790150172,0.0489545574288286,0.0485398310898676,0.0481352947128165,0.0477275088885839,0.0473275541248408,0.0469266112037918,0.0465355195815626,0.0461412865074353,0.0457567398689923,-0,0,0,0,0,3.99606074207358,3.9975027469798,3.99698596929318,3.99847471211125,3.99927103583776,3.99984531309785,4.00036933575466,4.00089465309992,4.00140706322605,4.001403323623,4.00198714392938,4.00265509219783,4.00194939537003,4.00348964608063,4.00397938456547,4.00467058458567,4.00530971463666,4.00595273016377,4.00646372749422,4.00693844771162,4.00740150389788,4.00782820091015,4.0082860081336,4.00878503429918,4.00923270082644,4.00968396324475,4.01012413799772,4.0105678484639,4.01100065681867,4.01143694171589,4.01186484826052,4.01229381202215,4.01251160039193,4.00378341871609,3.99263487081538,3.97225512275516,3.95254348882576,3.93122507557139,3.90278776911511,3.8661539029991,3.83082851787115,3.79694503697447,3.75726164552654,-0.0325290070701321,0.0399601992255043,0.0399656399121664,0.0399707987552882,0.0399757528063422,0.0399797977236431,0.0399818243799426,0.0399838540418464,0.0399891459271644,0.0399943101307828,0.0399996531205721,0.0400048935043517,0.0400101468354043,0.0400152710903932,0.0400204365060709,0.0400254750057946,0.040030553977376,0.0400355081569631,0.0400405021311046,0.0400454002016829,0.0400503103737903,0.0400550999013617,0.0400599279009167,0.0400646372749422,0.0400693844771162,0.0400740150389788,0.0400786827959295,0.0400832609139451,0.0400878503429918,0.0400923270082644,0.0400968396324475,0.0401012413799772,0.040105678484639,0.0401100065681867,0.0401143694171589,0.0401186484826052,0.0401229381202215,0.0401271223600373,0.0401313402098498,0.0401354544257117,0.0401396016891013,0.0401436470528718,0.0401477249111142,0.0401517244587516,0.0401557338879621,0.0401596448041844,0.0401635871349256,0.0401674326013101
04-May-2016,102.095457650273,137.340401785714,0.0576345295466041,0.0372268182314688,123.8406970395,273.282493060063,119.724979625143,13.4997047462143,-0.0204077113151353,107.246708867076,0.0664418216213189,0.0658940465093437,0.0653800285009682,0.0648944984569922,0.0644976580984978,0.064290013550825,0.0641084980559162,0.0635799991610868,0.063058782078254,0.0625313888468753,0.0620140674892701,0.0614954117467041,0.0609894448163553,0.0604793585235091,0.0599817513929537,0.0594800929617517,0.0589907075068388,0.0584973376885835,0.0580133899831607,0.0575281939771788,0.0570548681974437,0.0565776888052506,0.0561121835144017,0.0556428882821111,0.0551850742667208,0.0547235329289055,0.0542708058606317,0.0538169110226876,0.0533741206339809,0.0529277252386778,0.0524922508202015,0.0520532309585737,0.0516249516327709,0.0511931854431292,0.0507696648931791,0.0503450519092048,0.049930826999586,0.0495132296510669,0.0491058487407416,0.0486951511123789,0.0482945011218937,0.0478905892135906,0.0474943909988164,0.0470971708255795,0.0467096685668926,0.0463190114334967,0.0459379116511532,-0,0,0,0,0,3.99608330077739,3.99753029075148,3.9969920649184,3.99848011963882,3.99928124027303,3.99984861209479,4.00036591793276,4.00088455811565,4.00139050986699,4.00138031817385,4.00195789605224,4.00261960504754,4.00190788877616,4.00344210193869,4.00392598189144,4.00461135856028,4.00524485954597,4.00588225197164,4.0063878164856,4.00685711171789,4.00731492573328,4.00773638930642,4.00818911184743,4.00868308897731,4.00912587936602,4.00957227476132,4.0100077491798,4.01044676904143,4.01087504836723,4.01130681455687,4.01173033510682,4.01215494809079,4.01236854454176,4.00391742024794,3.99336731444448,3.97178031211977,3.95214588186545,3.93279167099458,3.90571715632417,3.86855954771151,3.83379471361256,3.80015061319151,3.76022509587042,-0.0318420886707617,0.0399605817837868,0.0399660595349066,0.0399711997149903,0.0399760550154301,0.039980023419015,0.0399820998644917,0.0399839150194408,0.0399892000083891,0.0399944121792175,0.0399996861115312,0.0400048593251073,0.040010045882533,0.0400151055518364,0.0400202064147649,0.0400251824860705,0.0400301990703825,0.0400350929249316,0.0400400266231142,0.0400448661001684,0.0400497180602282,0.0400544513180256,0.0400592231119475,0.040063878164856,0.0400685711171789,0.0400731492573328,0.0400777646707109,0.0400822919413937,0.0400868308897731,0.0400912587936602,0.0400957227476132,0.040100077491798,0.0401044676904143,0.0401087504836723,0.0401130681455687,0.0401173033510682,0.040121549480908,0.0401256917300041,0.0401298677034893,0.0401339415125926,0.0401380484888762,0.0401420549887811,0.0401460941078641,0.0401500560900118,0.0401540282917442,0.0401579033143311,0.040161809885665,0.0401656208834885
